FID,FEATURECOD,UPDATE_YEA,SHAPE_len
3001,430,2004,947.001276731
3002,520,2004,541.330050696
3003,520,2004,1416.71782751
3004,520,2004,1440.14519592
3005,540,2004,87.1547665257
3006,520,2004,227.437941949
3007,540,2004,81.5332452579
3008,520,2004,445.229614015
3009,520,2004,30.4318486419
3010,540,2004,113.719811206
3011,540,2004,16.2394685965
3012,540,2004,52.0192052408
3013,520,2004,436.64954908
3014,520,2004,330.353376031
3015,520,2004,80.8098792306
3016,520,2004,1138.60738864
3017,520,2004,160.073334239
3018,520,2004,1058.48409736
3019,540,2004,61.8724626684
3020,520,2004,1373.85271533
3021,520,2004,207.126725245
3022,540,2004,60.6062239974
3023,520,2004,28.5636220008
3024,520,2004,18.7118449048
3025,520,2004,232.344008694
3026,520,2004,564.402288797
3027,520,2004,1499.39067326
3028,520,2004,4.49649900274
3029,520,2004,221.994460193
3030,520,2004,818.8269614
3031,520,2004,53.351697131
3032,520,2004,831.868540247
3033,520,2004,1210.56849541
3034,520,2004,287.796535937
3035,430,2004,743.210530708
3036,540,2004,118.503333132
3037,520,2004,334.603256303
3038,520,2004,496.804364747
3039,520,2004,1780.82404981
3040,520,2004,925.68816484
3041,520,2004,74.424985634
3042,520,2004,679.148884275
3043,520,2004,1077.9644189
3044,540,2004,68.3265351448
3045,520,2004,2201.102657
3046,520,2004,6.42854897445
3047,520,2004,320.145086795
3048,430,2004,231.322303217
3049,520,2004,1352.54134204
3050,540,2004,24.3286531258
3051,520,2004,288.207705624
3052,540,2004,22.7313088843
3053,520,2004,1427.71071839
3054,540,2004,100.92253003
3055,520,2004,319.135278122
3056,520,2004,1744.1560763
3057,540,2004,30.9601110546
3058,520,2004,965.065498167
3059,520,2004,45.2885764819
3060,540,2004,69.054268571
3061,520,2004,606.539605468
3062,520,2004,1501.64456683
3063,520,2004,1199.57359472
3064,520,2004,170.908213598
3065,520,2004,996.929530466
3066,430,2004,541.732799432
3067,520,2004,210.138424824
3068,520,2004,405.494436755
3069,520,2004,1752.23740545
3070,540,2004,944.504089128
3071,520,2004,3864.74867988
3072,540,2004,11.7608263118
3073,520,2004,1537.55892298
3074,520,2004,849.493885864
3075,540,2004,39.2029770781
3076,540,2004,41.0175092957
3077,540,2004,946.233727409
3078,520,2004,264.559158208
3079,540,2004,55.4602386455
3080,520,2004,406.304913321
3081,540,2004,44.2159873449
3082,520,2004,2507.75312904
3083,520,2004,264.91327066
3084,520,2004,901.883936188
3085,520,2004,964.927757399
3086,520,2004,281.533698022
3087,540,2004,65.8801939657
3088,540,2004,12.3397931961
3089,540,2004,760.82795689
3090,540,2004,89.3537491895
3091,520,2004,1360.43686362
3092,520,2004,1573.88430277
3093,520,2004,4124.94051458
3094,520,2004,790.59565823
3095,540,2004,64.6341188347
3096,520,2004,2123.10898937
3097,520,2004,414.790678055
3098,520,2004,630.705976373
3099,520,2004,1111.54892137
3100,520,2004,244.502227899
3101,520,2004,14.1524442309
3102,540,2004,197.339029374
3103,540,2004,62.8134305519
3104,520,2004,1061.51386776
3105,540,2004,22.5850150532
3106,520,2004,174.398049229
3107,520,2004,1028.68354733
3108,520,2004,3464.90547878
3109,520,2004,166.121767633
3110,520,2004,436.295672671
3111,520,2004,38.8201452995
3112,540,2004,39.4544517862
3113,520,2004,625.341040589
3114,520,2004,293.026177302
3115,520,2004,50.8337874364
3116,430,2004,1104.80155165
3117,540,2004,20.8769956281
3118,520,2004,1330.94505765
3119,540,2004,33.350283813
3120,520,2004,331.369869152
3121,540,2004,99.9817202455
3122,520,2004,152.75213271
3123,520,2004,826.595454823
3124,520,2004,242.233254554
3125,430,2004,780.858550951
3126,520,2004,178.080832659
3127,520,2004,601.60897519
3128,510,2004,4187.11856371
3129,520,2004,106.157712881
3130,520,2004,320.918969549
3131,540,2004,62.4472247703
3132,430,2004,892.216995833
3133,540,2004,63.8927669444
3134,520,2004,685.570898771
3135,520,2004,69.7937090324
3136,520,2004,180.561841384
3137,520,2004,57.2646095315
3138,520,2004,732.152573139
3139,520,2004,302.264735937
3140,430,2004,668.063439104
3141,520,2004,357.107227755
3142,520,2004,40.6484184151
3143,520,2004,1121.50154898
3144,520,2004,179.266353574
3145,520,2004,42.5592615163
3146,520,2004,1299.76250878
3147,520,2004,44.710407359
3148,520,2004,228.828872978
3149,520,2004,3336.29770532
3150,540,2004,46.318016212
3151,540,2004,53.0311203253
3152,540,2004,23.7193773574
3153,520,2004,980.005784648
3154,520,2004,440.798862028
3155,520,2004,1697.49004072
3156,520,2004,1138.97206922
3157,540,2004,49.2747645909
3158,540,2004,54.9647454253
3159,520,2004,633.384756376
3160,540,2004,23.8754255473
3161,540,2004,53.7278833025
3162,520,2004,179.676163713
3163,540,2004,334.968933322
3164,520,2004,1644.84636027
3165,540,2004,146.576301176
3166,520,2004,1268.63049551
3167,520,2004,1397.12522996
3168,520,2004,243.850426403
3169,540,2004,20.7238613463
3170,540,2004,67.8964333377
3171,520,2004,1876.57310239
3172,520,2004,2102.36846172
3173,520,2004,64.6410414803
3174,520,2004,847.81679663
3175,520,2004,2589.89817878
3176,520,2004,750.945862143
3177,520,2004,26.6560970168
3178,520,2004,829.117868078
3179,540,2004,44.5970335269
3180,520,2004,2257.14334587
3181,520,2004,1019.04891292
3182,520,2004,288.71065333
3183,520,2004,135.764753823
3184,520,2004,546.390810289
3185,520,2004,164.664510884
3186,540,2004,29.7809709051
3187,520,2004,369.307411848
3188,520,2004,968.868278471
3189,520,2004,1440.85101279
3190,520,2004,733.815962999
3191,540,2004,72.3706995852
3192,520,2004,2179.72964598
3193,520,2004,33.8711640687
3194,540,2004,30.2990011014
3195,520,2004,524.037607618
3196,520,2004,67.7780075322
3197,520,2004,365.602481914
3198,520,2004,844.253524005
3199,520,2004,302.179039071
3200,520,2004,78.3710786106
3201,540,2004,47.634854217
3202,520,2004,688.991155265
3203,520,2004,737.136030083
3204,520,2004,437.895835227
3205,520,2004,2377.92799588
3206,540,2004,41.6305559651
3207,540,2004,49.1857619604
3208,540,2004,38.1237475278
3209,520,2004,25.3877388387
3210,520,2004,368.97660039
3211,520,2004,958.447178878
3212,540,2004,50.5524415414
3213,520,2004,292.898268539
3214,520,2004,2448.62679565
3215,520,2004,585.537620006
3216,520,2004,1233.63128833
3217,520,2004,141.002978935
3218,520,2004,468.413980741
3219,520,2004,319.256618254
3220,520,2004,1019.56181602
3221,540,2004,50.8159723595
3222,520,2004,26.1467878159
3223,520,2004,2098.08564113
3224,540,2004,62.9461311898
3225,520,2004,84.6686498688
3226,520,2004,711.183240248
3227,520,2004,821.487930165
3228,520,2004,1574.81208759
3229,540,2004,50.8029373367
3230,540,2004,42.2720909878
3231,520,2004,654.23833466
3232,520,2004,1792.8495032
3233,520,2004,144.958845291
3234,520,2004,677.356184736
3235,520,2004,478.090306433
3236,520,2004,293.892966002
3237,520,2004,53.247267281
3238,520,2004,245.024619555
3239,540,2004,66.3822744991
3240,520,2004,1573.18029878
3241,520,2004,129.055998368
3242,520,2004,805.218203078
3243,520,2004,235.687808327
3244,540,2004,52.7810631665
3245,540,2004,66.0501287104
3246,520,2004,216.371282065
3247,520,2004,485.459435279
3248,520,2004,656.741231894
3249,520,2004,142.113204452
3250,540,2004,186.788809985
3251,520,2004,370.253322146
3252,540,2004,37.4211997214
3253,430,2004,644.041093724
3254,540,2004,56.1510508441
3255,540,2004,18.0022407532
3256,520,2004,63.1224595121
3257,520,2004,365.770080641
3258,520,2004,3113.09453132
3259,430,2004,906.468261117
3260,520,2004,320.034602057
3261,520,2004,109.417372283
3262,540,2004,73.3532384856
3263,520,2004,327.971045
3264,520,2004,427.155248615
3265,540,2004,64.6974152262
3266,540,2004,96.843272049
3267,520,2004,85.4263950152
3268,520,2004,504.383993981
3269,520,2004,993.562154234
3270,520,2004,429.869551316
3271,520,2004,163.418090712
3272,540,2004,30.1229346417
3273,520,2004,2418.45097082
3274,520,2004,116.987464359
3275,540,2004,44.4650240744
3276,520,2004,120.303105662
3277,520,2004,151.849570542
3278,520,2004,1105.37560018
3279,540,2004,25.5796052682
3280,520,2004,444.175603983
3281,520,2004,338.444917145
3282,520,2004,2216.57884282
3283,520,2004,993.025464392
3284,520,2004,997.550274337
3285,520,2004,430.994709883
3286,540,2004,322.941681502
3287,540,2004,36.4751258733
3288,520,2004,123.73088133
3289,540,2004,60.3054400596
3290,520,2004,2760.97499958
3291,540,2004,35.2660498559
3292,520,2004,1405.9876415
3293,520,2004,862.373521644
3294,520,2004,884.334870075
3295,520,2004,469.426997155
3296,520,2004,964.269066917
3297,520,2004,698.086898032
3298,520,2004,53.3171717381
3299,520,2004,563.783369577
3300,520,2004,347.883534066
3301,520,2004,1323.38288707
3302,540,2004,569.859830517
3303,520,2004,1311.15634783
3304,520,2004,304.814362358
3305,520,2004,254.121124427
3306,540,2004,41.7526544898
3307,520,2004,124.95873807
3308,520,2004,285.005652035
3309,520,2004,35.6360884486
3310,520,2004,72.360662934
3311,520,2004,145.304757642
3312,520,2004,426.759963295
3313,520,2004,149.936631128
3314,520,2004,1739.44597321
3315,520,2004,1118.07629815
3316,540,2004,49.8398770899
3317,520,2004,72.9811891322
3318,520,2004,1409.44815269
3319,520,2004,964.895304142
3320,510,2004,2464.56167364
3321,540,2004,48.5881813539
3322,520,2004,740.182313403
3323,520,2004,146.220798133
3324,520,2004,128.054169712
3325,540,2004,37.0604484778
3326,520,2004,416.551579648
3327,520,2004,788.250946792
3328,520,2004,807.553890848
3329,520,2004,1572.99960926
3330,520,2004,221.545277463
3331,520,2004,927.879026388
3332,520,2004,55.5434495016
3333,520,2004,123.888706251
3334,540,2004,45.0424241117
3335,520,2004,98.6307784417
3336,540,2004,34.9162134198
3337,520,2004,142.743997668
3338,540,2004,50.2052550907
3339,540,2004,167.711641423
3340,520,2004,438.469411973
3341,520,2004,820.803471463
3342,540,2004,54.7156117935
3343,540,2004,57.6331731381
3344,520,2004,255.928478923
3345,520,2004,1576.84324469
3346,520,2004,1317.23210931
3347,540,2004,31.3828041432
3348,540,2004,37.7545686498
3349,520,2004,55.9715054986
3350,520,2004,475.489501092
3351,540,2004,43.8407635193
3352,520,2004,625.141665545
3353,540,2004,57.4481511725
3354,520,2004,1568.85066958
3355,520,2004,285.112221933
3356,520,2004,109.285228901
3357,540,2004,168.61322682
3358,520,2004,1392.10100431
3359,520,2004,111.58519907
3360,520,2004,827.01650812
3361,520,2004,64.9726891083
3362,520,2004,221.705661755
3363,520,2004,6.57207785664
3364,540,2004,109.645691653
3365,540,2004,42.6952587495
3366,540,2004,11.4338016003
3367,520,2004,285.764289563
3368,430,2004,509.489811063
3369,520,2004,298.823266827
3370,520,2004,671.950697105
3371,520,2004,264.404814257
3372,520,2004,857.478525441
3373,540,2004,87.8823612535
3374,540,2004,245.371430133
3375,520,2004,1961.79588892
3376,520,2004,2973.4288882
3377,520,2004,45.1303187147
3378,520,2004,164.891081307
3379,520,2004,138.137369932
3380,520,2004,73.1773015925
3381,540,2004,86.8089678204
3382,520,2004,4065.16555596
3383,510,2004,1480.47605198
3384,520,2004,425.264695119
3385,540,2004,12.0418932985
3386,540,2004,59.1333131366
3387,540,2004,183.334405603
3388,540,2004,41.7873397963
3389,540,2004,79.0545755773
3390,520,2004,453.228113407
3391,540,2004,44.5976636924
3392,540,2004,37.1780965904
3393,540,2004,50.7332110759
3394,520,2004,1706.01494986
3395,540,2004,29.4960308572
3396,520,2004,516.555051998
3397,540,2004,106.996651982
3398,520,2004,1625.57018953
3399,520,2004,1538.30359942
3400,520,2004,828.705083889
3401,520,2004,1455.23156554
3402,520,2004,956.785961619
3403,520,2004,17.6971249283
3404,540,2004,331.573579119
3405,540,2004,36.8611207898
3406,520,2004,773.253561134
3407,520,2004,119.418449495
3408,540,2004,51.84704055
3409,520,2004,590.629326552
3410,540,2004,117.197432012
3411,520,2004,257.231844643
3412,520,2004,1606.8845694
3413,520,2004,73.2118457331
3414,520,2004,909.889816278
3415,520,2004,560.251354099
3416,520,2004,1567.65388935
3417,520,2004,947.587545996
3418,520,2004,2451.95759224
3419,520,2004,33.4807685145
3420,540,2004,41.6008624808
3421,520,2004,62.4345291118
3422,520,2004,76.3666747455
3423,520,2004,1540.79649302
3424,540,2004,80.5585091909
3425,540,2004,65.2185826771
3426,540,2004,8.83430347188
3427,520,2004,2399.1613544
3428,520,2004,379.772929264
3429,520,2004,833.298647514
3430,520,2004,22.467167175
3431,520,2004,801.404546269
3432,520,2004,156.184507341
3433,520,2004,1206.35181648
3434,520,2004,700.081166284
3435,540,2004,57.4132539067
3436,520,2004,295.243090892
3437,520,2004,1957.6190303
3438,430,2004,689.760696721
3439,520,2004,244.230799005
3440,520,2004,118.182172175
3441,540,2004,11.0838538794
3442,540,2004,45.2191802967
3443,520,2004,197.55503583
3444,520,2004,359.522252222
3445,520,2004,76.6768877496
3446,520,2004,311.541938454
3447,520,2004,340.793579659
3448,540,2004,69.5233053118
3449,520,2004,1128.36134637
3450,520,2004,833.960742731
3451,520,2004,161.208777077
3452,520,2004,952.292356755
3453,520,2004,2271.3213434
3454,520,2004,59.9343016821
3455,520,2004,626.601794676
3456,520,2004,47.8080162524
3457,540,2004,24.4279146228
3458,430,2004,487.446773496
3459,520,2004,373.09548786
3460,520,2004,354.407887099
3461,520,2004,290.237491979
3462,540,2004,12.0793984763
3463,520,2004,114.095907857
3464,520,2004,678.544152885
3465,520,2004,518.170599643
3466,520,2004,3416.03095688
3467,520,2004,923.812210829
3468,520,2004,379.677522676
3469,540,2004,246.610386386
3470,540,2004,53.3738849707
3471,520,2004,249.939240968
3472,520,2004,534.863800855
3473,540,2004,51.2692565352
3474,520,2004,388.285846522
3475,520,2004,180.703572526
3476,520,2004,1830.53102753
3477,540,2004,133.054933007
3478,520,2004,3019.97329134
3479,520,2004,64.160236502
3480,520,2004,940.581301855
3481,520,2004,1328.16820426
3482,520,2004,2133.84744724
3483,540,2004,79.9872448563
3484,520,2004,1468.00734844
3485,520,2004,1379.6154498
3486,520,2004,392.111970304
3487,520,2004,1074.19033399
3488,520,2004,166.285259417
3489,520,2004,217.900671455
3490,520,2004,578.287314927
3491,520,2004,3019.89989491
3492,520,2004,750.081782592
3493,540,2004,27.126670466
3494,520,2004,2233.54781889
3495,520,2004,1629.03065586
3496,520,2004,737.091346135
3497,540,2004,218.476274831
3498,520,2004,2077.68152763
3499,540,2004,148.445722906
3500,520,2004,1922.29530227
3501,540,2004,168.312229909
3502,520,2004,482.512435211
3503,540,2004,140.824158697
3504,520,2004,1052.40357976
3505,540,2004,72.1466401012
3506,540,2004,73.4330539942
3507,520,2004,199.038993288
3508,520,2004,744.508841767
3509,520,2004,585.944886876
3510,520,2004,257.790430116
3511,520,2004,26.4418291302
3512,520,2004,1226.4032535
3513,540,2004,275.136364345
3514,430,2004,981.870079408
3515,540,2004,60.3244989982
3516,520,2004,217.294484338
3517,520,2004,710.107138058
3518,520,2004,1623.89082744
3519,520,2004,120.890323252
3520,520,2004,2015.08913814
3521,540,2004,90.3775414101
3522,520,2004,973.93799904
3523,520,2004,1662.35780934
3524,540,2004,263.23569242
3525,520,2004,361.124742769
3526,520,2004,140.142083038
3527,520,2004,195.170551292
3528,540,2004,65.8591813761
3529,520,2004,1194.23701575
3530,520,2004,390.443420202
3531,540,2004,38.437733294
3532,520,2004,66.7445356151
3533,520,2004,3726.07602657
3534,520,2004,381.148853998
3535,520,2004,82.5167108819
3536,520,2004,730.582667032
3537,520,2004,352.082814475
3538,520,2004,218.586904453
3539,520,2004,121.081290276
3540,540,2004,30.7194009348
3541,520,2004,2150.16695004
3542,520,2004,498.444526108
3543,520,2004,1318.39252654
3544,520,2004,192.415958256
3545,520,2004,397.861157984
3546,540,2004,84.56224366
3547,540,2004,53.6010732098
3548,520,2004,259.120036637
3549,520,2004,417.759506394
3550,520,2004,635.937270141
3551,520,2004,40.3351204062
3552,540,2004,164.590746489
3553,540,2004,54.1689041215
3554,520,2004,2114.57450915
3555,510,2004,3850.22086511
3556,520,2004,1050.25068207
3557,520,2004,750.795286036
3558,520,2004,424.351720673
3559,520,2004,80.6073332435
3560,520,2004,733.982496369
3561,520,2004,1733.4265891
3562,520,2004,3172.18168805
3563,540,2004,39.3468270393
3564,540,2004,80.1109210173
3565,540,2004,18.6494588618
3566,540,2004,235.599565149
3567,520,2004,318.447807593
