objectid,pghdbsdeDPW_Divisionsarea,perimeter,dpwdivs_,dpwdivs_id,sqmiles,acres,division,supervsr,unique_id,sq_miles
1,230375018.912376,81799.07432308,2,1,8.57999992,5488.62988281,1,Kevin Kirby,7,
2,7809416.16251534,13584.3383249,3,9,0.28,179.27999878,2,Pat Byrne,25,
3,297497168.050797,90237.70511694,4,3,10.68000031,6832.04003906,2,Pat Byrne,25,
4,6424213.95658164,13255.11760726,5,1,0.23,147.47999573,1,Kevin Kirby,7,
5,2124908.11234262,8996.68283912,6,10,0.08,48.75,6,Dennis James,7,
6,288378606.016313,142804.98966016,7,5,10.34000015,6620.25976563,5,Bob Palmosina,113,
7,42630811.4976976,48982.13277527,8,112,0.64999998,421.57000732,6,Dennis James,24,
8,8709865.35394573,31045.08416964,9,99,0.31,197.33999634,6,Dennis James,18,
9,323218488.910112,95261.11145374,10,4,11.86999989,7595.08984375,3,Gregg Daley,85,
10,239489875.521808,102669.39140713,11,6,8.59000015,5497.93017578,4,John Radcliffe,14,
11,9461713.50545741,13610.79236176,12,0,0.34,217.21000671,0, ,0,
12,98370566.1564104,87455.83170243,13,8,3.52999997,2258.2800293,3,Gregg Daley,14,
