X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-6.27084284197612,54.7425333935293,MOTORWAY,20060309,M 22,1
-6.2247099486512,54.4898421850805,MOTORWAY,20050114,M 1,2
-6.42684965343315,54.4569727658274,MOTORWAY,20050114,M 12,3
-6.43722777690627,54.4676523128676,MOTORWAY,20050114,M 1,4
-6.71717133304191,54.4923838485873,MOTORWAY,20060307,M 1,5
-6.57498600598791,54.4808892933327,MOTORWAY,20060307,M 1,6
-5.99799596139555,54.5553022443751,MOTORWAY,20031029,3,7
-6.25828729980834,54.8813572465457,MOTORWAY,20060309,M 2,8
-6.15709963509793,54.722907149781,MOTORWAY,20060309,6,9
-6.18718170928369,54.7399127085872,MOTORWAY,20060309,7,10
-6.29838116192175,54.7415013248668,MOTORWAY,20060309,2,11
-6.23833511305535,54.7470428774307,MOTORWAY,20060309,1,12
-6.14197696563136,54.7217031547278,MOTORWAY,20060309,M 2,13
-6.0756178964746,54.7096226959297,MOTORWAY,20031015,5,14
-5.90837449132112,54.6540634800012,MOTORWAY,20031015,M 5,15
-6.00903291076214,54.6926594923188,MOTORWAY,20031015,M 2,16
-5.97849230491806,54.6812821533741,MOTORWAY,20031015,A 8(M),17
-5.91867606525986,54.6175716270008,MOTORWAY,20031029,M 2,18
-5.99487681971704,54.5631670490691,MOTORWAY,20031029,M 1,19
-5.48880716855555,54.5693504889311,A_CLASS,20031024,A 2,20
-5.45375465804041,54.4905488355334,A_CLASS,20031024,A 2,21
-5.50686679307867,54.415061262611,A_CLASS,20031024,A 2,22
-5.61138923375803,54.6718745106401,A_CLASS,20031029,A 2,23
-5.74838761225639,54.7398340827056,A_CLASS,20031029,A 2,24
-5.72781959194397,54.7630216484437,A_CLASS,20031029,A 2,25
-5.7581540210015,54.8109953134731,A_CLASS,20050202,A 2,26
-5.73503181254656,54.547922597372,A_CLASS,20050702,A 21,27
-5.80593649134323,54.5182492636567,A_CLASS,20050702,A 23,28
-5.81339938284411,54.4826212640179,A_CLASS,20031024,A 21,29
-5.83396351303405,54.4742409894173,A_CLASS,20031024,A 7,30
-5.73821698388747,54.5916986810205,A_CLASS,20050702,A 20,31
-5.78457755581471,54.5769867061637,A_CLASS,20050702,A 22,32
-5.77448246469084,54.5306945139084,A_CLASS,20050702,A 21,33
-5.60551436761981,54.5523564190438,A_CLASS,20050702,A 20,34
-5.66660728952239,54.5759975088005,A_CLASS,20050702,A 20,35
-5.70188216376229,54.5673208890971,A_CLASS,20050702,A 21,36
-5.55883295921818,54.5319807563441,A_CLASS,20050702,A 20,37
-5.7361793224838,54.5521959782287,A_CLASS,20050702,A 211,38
-5.73149760636882,54.5293472575822,A_CLASS,20050702,A 22,39
-5.58135808748075,54.6396075590976,A_CLASS,20050702,A 48,40
-5.63857159077271,54.623461268638,A_CLASS,20050702,A 48,41
-5.83410660295907,54.5952484668596,A_CLASS,20050702,A 20,42
-5.67559887084231,54.6205005893188,A_CLASS,20050702,A 21,43
