PC_NAME,Area_sqkm,PC_ID,OBJECTID
NORTH DOWN,115.44065937,N06000013,1
UPPER BANN,479.69241981,N06000017,2
EAST ANTRIM,593.040484022,N06000005,3
NORTH ANTRIM,1386.23579148,N06000012,4
SOUTH DOWN,1249.82080829,N06000015,5
MID ULSTER,1348.63795321,N06000010,6
NEWRY AND ARMAGH,1081.5208172,N06000011,7
WEST TYRONE,1992.09359947,N06000018,8
BELFAST EAST,55.2978073781,N06000001,9
BELFAST SOUTH,44.8302814819,N06000003,10
STRANGFORD,655.231442132,N06000016,11
BELFAST WEST,45.1479512489,N06000004,12
LAGAN VALLEY,467.841192005,N06000009,13
SOUTH ANTRIM,785.0293353,N06000014,14
BELFAST NORTH,50.3185613822,N06000002,15
EAST LONDONDERRY,1275.26908819,N06000006,16
FERMANAGH AND SOUTH TYRONE,2506.0113818,N06000007,17
FOYLE,183.642632361,N06000008,18
