FID,OBJECTID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,Shape_Le_1,Bridge_Typ
1,1,TF01,Thorn Run East #1,222,15,35.8081928971,Vehicle
2,223,PI15,Pine Creek Br #15,338,92,98.3597255888,Vehicle
3,224,KL11,KILBUCK RUN NO. 11,339,26,41.3537794165,Vehicle
4,2,SF02,Wagner Rd. Bridge #2,223,16,20.9860864712,Vehicle
5,225,KL03,KILBUCK RUN NO. 3,340,36,19.3082506282,Vehicle
6,3,WR02,West Run Br #2,224,22.2326681566,22.2326501872,Vehicle
7,226,FU06,FLAUGHERTY RUN NO. 6,341,20,18.8859355572,Vehicle
8,4,WR03,West Run Br #3,225,22.0578403011,22.057859227,Vehicle
9,227,GH01,GOURDHEAD NO. 1,342,27,26.6592690444,Vehicle
10,5,WR04,West Run Br #4,226,27.0647120534,27.064717165,Vehicle
11,228,SB06,BIG SEWICKLEY CREEK NO. 6,344,32,35.1005257819,Vehicle
12,6,WR05,West Run Br #5,227,27.0866460995,27.0866164413,Vehicle
13,229,SB04,BIG SEWICKLEY CREEK NO. 4,345,32,35.2861122646,Vehicle
14,7,WR06,West Run Br #6,228,19.9521522805,19.9521198505,Vehicle
15,230,DE13,DEER CREEK NO. 13,346,36,69.6729455247,Vehicle
16,8,WB08,Wible Run Br #8,229,5,27.6498170715,Vehicle
17,231,SB10,BIG SEWICKLEY CREEK NO. 10,347,35,56.2258535566,Vehicle
18,9,WB09,Wible Run Br #9,230,4,23.3331036406,Vehicle
19,232,DE12,DEER CREEK NO. 12,348,32,80.7474519931,Vehicle
20,10,WC10,Wildcat Run Br #10,231,6,24.9848459652,Vehicle
21,11,WC09,Wildcat Run Br #9,232,11,23.2446260497,Vehicle
22,233,DG09,Douglas Run #9,400,13,79.7709251849,Vehicle
23,12,WD01,Wood Run Br #1,233,12,25.9784765875,Vehicle
24,234,PE06,Peter's Creek #6,401,16,62.9980649497,Vehicle
25,13,WD02,Wood Run Br #2,234,5,24.460797398,Vehicle
26,235,PG06,Pangburn Hollow #6,402,14,17.7252126863,Vehicle
27,236,LC13,Lick's Run Br #13,403,8,17.2982212062,Vehicle
28,14,WY13,Wylie's Run Br #13,235,23.9487771902,23.9487619294,Vehicle
29,237,LC14,Lick's Run #14,404,8,12.9773788788,Vehicle
30,15,WY14,Wylie's Run Br #14,236,22,34.016603561,Vehicle
31,238,CT11,Corrgian Drive #11,405,6,39.3648431886,Vehicle
32,239,LC07,Lick's Run #7,406,18,26.784673353,Vehicle
33,16,YR09,Youghiogheny River #9,237,12,22.9362221377,Vehicle
34,240,GS01,Fort Couch Rd. #1,408,20,44.1926074537,Vehicle
35,17,AR01,Armstrong Tunnels,1,1298.96600041,1440.35321562,Vehicle
36,241,SW07,Saw Mill Run Br. #7,409,39.9601917133,39.9602178291,Vehicle
37,18,PD04,Bellevue Rd Br,2,240,358.872040694,Vehicle
38,242,CT07,Catfish Run #7,410,42.9616725329,42.9616852118,Vehicle
39,19,PN02,Pine Creek N Branch No 2,3,30,44.8299700812,Vehicle
40,243,SY01,Sleepy Hollow Bridge #1,411,18.8763647276,18.8763540146,Vehicle
41,22,JA04,Jacks Run No 4,9,35,45.8713074961,Vehicle
42,244,TH03,Thoms Run No. 2,413,10,17.9740651381,Vehicle
43,23,PD03,Jacks Run No. 3,10,197,245.609995205,Vehicle
44,245,DS01,Dawsons Run No. 1,415,15,22.5207304129,Vehicle
