FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
1,52710.8954661,1031.14335246,2,0,0,1031.14344794,52710.899049,1.21008057606
2,1234.8122385,143.993226505,202,1161,310,143.993211552,1234.81176621,0.028347490943
3,334848.571189,3069.233001,203,618,310,3069.23291176,334848.574394,7.68709627622
4,60370.5615412,1401.96400083,3,1131,310,1401.96404914,60370.5737222,1.38592321408
5,97108.1221784,3141.59846482,204,1159,310,3141.59860825,97108.1140086,2.22930446378
6,348403.398063,3283.92814195,4,1139,310,3283.92809961,348403.422793,7.99827402228
7,410857.444238,3498.67685182,205,1517,310,3498.67689589,410857.462105,9.43202721624
8,1548907.28198,11900.4630672,5,1139,310,11900.4632002,1548907.25401,35.5581600013
9,14693.44192,655.651844087,206,1129,310,655.651683965,14693.4422162,0.337316368001
10,530603.094402,3651.38718493,6,1164,310,3651.38728956,530603.118588,12.1810202251
11,131878.224752,1688.14686745,207,2050,310,1688.14686601,131878.238779,3.02751988736
12,503080.10446,4114.86633604,208,1135,310,4114.86622218,503080.0956,11.5491760314
13,49760.1815877,2545.51340965,7,1167,310,2545.51349461,49760.1688805,1.14234086138
14,546166.415897,4135.03638299,209,2093,310,4135.03644583,546166.42531,12.5383060143
15,1193424.67318,7444.09431491,502,547,310,7444.09426438,1193424.67755,27.397370323
16,22634.0257115,730.815900694,503,2299,310,730.815801075,22634.0277338,0.519607857443
17,312229.181299,2297.99222367,8,1151,310,2297.99221768,312229.169902,7.16782412356
18,75807.584664,1059.68803828,504,5779,0,1059.68804283,75807.5774385,1.74030947359
19,719960.066408,5571.0210289,210,771,310,5571.02111987,719960.097238,16.5280756907
20,58971.693524,2334.94621489,505,1106,310,2334.94637625,58971.6921574,1.35380918377
21,627112.765288,6556.84656278,9,1165,310,6556.8467326,627112.770644,14.396585838
22,26943.240466,1014.34895555,506,0,0,1014.34887521,26943.2284121,0.618533888553
23,442220.778887,5391.22688711,211,1025,310,5391.22713325,442220.770824,10.1520325921
24,178513.468286,1838.93142109,507,2793,310,1838.93144883,178513.477681,4.09812194069
25,71435.8094185,1414.02862845,508,587,310,1414.02853971,71435.7879584,1.63994659556
26,620360.653688,4657.17536297,509,4096,310,4657.17542142,620360.662771,14.2415781502
27,188451.386055,1769.40745207,10,645,310,1769.40738001,188451.364895,4.32626535129
28,461599.837298,5159.94801051,212,587,310,5159.94791144,461599.847408,10.5969167542
29,28387.3696965,731.37325394,510,4101,310,731.373176115,28387.3667355,0.651686875237
30,441690.645481,4423.55861674,11,645,310,4423.55857718,441690.643342,10.1398624911
31,1120828.14545,4402.31994503,511,2012,310,4402.31998335,1120828.14335,25.7307765535
32,66042.247667,1344.17891075,512,0,0,1344.17891453,66042.2387843,1.51612724872
33,52788.1235735,910.358244472,213,5753,0,910.358170928,52788.1072896,1.21185304047
34,751938.341133,7361.15213366,12,645,310,7361.15202275,751938.296607,17.26219707
35,113781.728978,2224.10146133,513,1007,310,2224.10145734,113781.721472,2.61207935262
36,8957.96249983,955.683718808,214,3920,310,955.683774564,8957.96426089,0.205647385052
37,466976.756113,3115.24472719,514,2642,310,3115.2446572,466976.759933,10.7203541746
38,14174.6808,500.981103976,215,2087,310,500.981091271,14174.6828455,0.325407243903
39,381433.721134,3707.67081619,13,0,0,3707.67076156,381433.713171,8.75654818435
40,652219.069702,7068.89283014,216,2048,310,7068.89275494,652219.077365,14.9729496384
41,37930.1307356,1048.05839666,14,0,0,1048.05849601,37930.1349486,0.870759565418
42,51246.422065,1025.35288499,217,1038,310,1025.35288376,51246.4374443,1.17646102917
43,29595.3785205,1653.90185534,218,590,310,1653.90187141,29595.3780079,0.67941910904
44,38114.3880927,955.42418091,15,645,310,955.424104955,38114.3902353,0.874989501684
45,718079.703798,4596.94557647,219,593,310,4596.94541771,718079.730317,16.4849082333
46,192584.637612,3403.28294111,16,645,310,3403.28303273,192584.665299,4.42115325161
47,356806.696403,3439.012295,17,645,310,3439.0122678,356806.705841,8.19118762791
48,15765.022638,1193.08238737,220,4390,310,1193.08231594,15765.0304918,0.361916748211
49,5239.600881,267.073860122,18,632,310,267.073893694,5239.60214632,0.120285195243
50,254853.307334,2290.89075644,221,1136,310,2290.89079499,254853.30836,5.85065031625
51,249326.440247,4729.47245212,19,1128,310,4729.47255938,249326.443533,5.72377045091
52,89191.8016969,4116.28479538,222,778,310,4116.28491669,89191.8061998,2.04757031607
53,128091.855486,2068.08748272,515,572,310,2068.0873655,128091.84917,2.94059599492
54,26727.7089264,1167.0201295,20,1131,310,1167.02004709,26727.7094801,0.613586234877
