X,Y,FID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,ET_ID,ET_X,ET_Y,ET_ANGLE,ET_IDP
-80.0798827708589,40.4912398624632,1,OB04,Fleming Park Bridge,354,807,463,1320556.68907,430356.209939,359.630357979,463
-80.0869873952278,40.3638634861148,2,PA07,Painter's Run Br #7,358,31,464,1317353.51944,384021.653728,17.3540788702,464
-80.0871821468385,40.3626007416242,3,PA08,Painter's Run Br #8,359,34,465,1317287.09619,383563.239754,9.46231450024,465
-80.0835515499803,40.3628874263797,4,PA09,Painter's Run Br #9,360,42,466,1318301.22023,383640.889476,92.1211716003,466
-79.7496940864288,40.4945655192792,5,PB02,Plum Creek South Br. #2,416,12,467,1412393.11901,429316.46438,212.055965531,467
-79.9838008888572,40.2819923293201,6,PF01,Piney Fork Br #1,364,30,468,1345343.43354,353462.102597,119.744838418,468
-79.9114832258079,40.2450280563991,7,PG03,Pangburn Hollow Br #3,365,24,469,1365184.04686,339498.383757,17.353933097,469
-79.9140947595377,40.2415801344506,8,PG04,Pangburn Hollow Br #4,366,14,470,1364424.48059,338260.572766,188.448890989,470
-79.9155293056105,40.2392162490711,9,PG05,Pangburn Hollow Br #5,366,19,471,1364003.01341,337409.510458,34.018003272,471
-79.9105464166322,40.2197822583284,10,PG09,Pangburn Hollow Br No 9,93,24,472,1365220.50091,330297.980971,322.436638915,472
-79.8985064342845,40.2290645735214,11,PG10,Pangburn Hollow Br #10,366,4,473,1368663.96728,333596.399509,179.640776677,473
-79.9000098789814,40.2177369352566,12,PG14,Pangburn Hollow Br #14,367,14,474,1368143.85306,329481.312274,53.1300584459,474
-80.0932198083585,40.4726410822795,13,PH02,Pine Hollow Br #2,368,4,475,1316668.74663,423681.160604,133.602878461,475
-80.0918080568273,40.4745980497707,14,PH04,Pine Hollow Br #4,369,4,476,1317080.27548,424383.418518,55.4916079741,476
-79.964815036493,40.5600258369292,15,PI02,Pine Creek Br #2,370,61,477,1353178.7285,454583.977665,111.501384059,477
-80.0837388159546,40.4756000657405,16,PH03,Pine Hollow Br #3,370,6,478,1319334.0172,424688.907314,110.947897302,478
-80.0145770482894,40.5924640886274,17,PI08,Pine Creek Br #8,372,40,479,1339659.80193,466748.24421,169.875301849,479
-79.9589405297618,40.5496647038329,18,PI09,Pine Creek Br #9,373,55,480,1354716.04314,450769.648436,101.74287802,480
-79.9525870873845,40.513220350538,19,PI11,Pine Creek Br #11,374,58,481,1356149.96194,437452.814831,54.2461403181,481
-79.9849179303162,40.5949666967892,20,PI35,Pine Creek Br #35,376,61,482,1347917.01917,467449.865268,117.758562834,482
-79.9825005011513,40.5969364845544,21,PI36,Pine Creek Br #36,376,4,483,1348606.27809,468150.270925,72.8972212822,483
-79.9821582779766,40.5820586993163,22,PI37,Pine Creek Br #37,377,24,484,1348564.29781,462729.480184,122.125068999,484
-79.9971766327625,40.5961299531058,23,PI41,Pine Creek Br #41,378,43,485,1344524.58343,467959.895025,90.8364276618,485
-79.7401879907289,40.460206702467,24,PJ03,Pierson's Run Br #3,379,6,486,1414754.22153,416742.955801,117.40730795,486
-79.7412166117166,40.4621660696189,25,PJ04,Pierson's Run Br #4,380,6,487,1414484.16143,417463.024213,0,487
-79.7428743328831,40.4657586008082,26,PJ05,Pierson's Run Br#5,381,5,488,1414052.54322,418781.856167,138.814072001,488
-79.7417684185846,40.4594696391912,27,PJ07,Pierson's Run Br#7,383,4,489,1414308.50504,416484.42551,35.8378439812,489
-79.7354748517775,40.4580828736129,28,PJ08,Pierson's Run Br #8,384,5,490,1416047.98238,415939.921598,150.255106882,490
-80.1656104315195,40.5351553960151,29,PK03,Parks Run Br #3,384,4,491,1297159.09444,446989.383782,58.3924719812,491
-79.897105245935,40.556189180977,30,PL15,Little Pine Creek Br #15,385,5,492,1371952.18185,452722.101202,176.18586389,492
-79.7470575646064,40.508895024251,31,PM06,Plum Creek Br #6,385,20,493,1413244.24169,434518.821519,163.30075937,493
-80.0159805493491,40.6085598118785,32,PN03,Pine Creek North Branch #3,385,48,494,1339420.59896,472620.151569,18.7117438663,494
-80.0263461663637,40.6194105001753,33,PN06,Pine Creek North Branch Br #6,386,35,495,1336645.42227,476645.877351,22.5205825814,495
-80.0240719694652,40.6160947058413,34,PN09,Pine Creek North Branch Br #9,386,24,496,1337245.43847,475422.031161,77.6192480083,496
-80.0245030261518,40.615926896743,35,PN10,Pine Creek N Br #10,188,3,497,1337124.23435,475363.998119,345.59071399,497
-79.9236737809285,40.3339891890747,36,PR05,Pine Run Br #5,193,6,498,1362579.68122,371979.828009,128.076609032,498
-79.9725318844248,40.5287172339303,37,PS05,Pine Creek South Branch Br #5,387,30,499,1350748.25563,443235.53436,49.8990677906,499
-79.9996035826198,40.5520964881931,38,PS10,Pine Creek South Branch Br #1,388,37,500,1343442.23822,451940.495114,70.7099561722,500
-79.7839487398728,40.4882340837167,39,PU07,Plum Creek Bridge No. 7,429,7,501,1402815.57651,427228.072058,180.188774077,501
-79.7597693270583,40.4769523423806,40,PU09,Pierson Run Road #9,414,6,502,1409445.7008,422965.214542,123.703788757,502
-80.0334358077058,40.3079123128313,41,PY02,Piney Fork North Branch Br #2,389,20,503,1331744.09157,363255.502582,69.044285572,503
-79.899528031975,40.3189019362602,42,MR06,McRobert's Run Br #6,390,10,504,1369175.31157,366320.530316,156.03744232,504
-80.1983451492724,40.3896429754296,43,RS03,Robinson Run South Branch Br,390,61,505,1286594.37182,394250.027541,343.663934844,505
-79.8685635855638,40.4777585671365,44,RY03,Ryan's Run Br #3,390,4,506,1379195.23957,423966.199628,138.576386133,506
-79.8664990602012,40.4766132784528,45,RY04,Ryan's Run Br #4,391,3,507,1379759.40509,423535.319142,112.464050254,507
-79.8659650927692,40.4755224272957,46,RY05,Ryan's Run Br #5,392,3,508,1379898.38812,423134.475273,71.5651210657,508
-79.8730339665824,40.4740866160001,47,RY07,Ryan's Run Br #7,392,0,509,1377919.82973,422658.751808,36.870016229,509
-79.8597498877032,40.4748376252335,48,SA07,Sandy Creek Br #7,393,5,510,1381620.99571,422843.708059,94.3989428125,510
-79.871508264265,40.46705399917,49,SA14,Sandy Creek Br #14,394,5,511,1378282.62358,420087.302035,81.2539506432,511
-79.9965735611526,40.4828936200656,50,SG02,Spring Garden Run Br #2,204,6,512,1343642.6786,426716.321787,270.871537645,512
-79.9965542223735,40.4851916512911,51,SG04,Spring Garden Br #4,396,10,513,1343669.351,427553.091232,4.39867009916,513
-80.172936757635,40.5672161639314,52,SL02,LITTLE SEW CRK NO. 2,343,42,514,1295443.90138,458720.71885,335.512887489,514
-80.2205232023466,40.5564592650634,53,SN05,Spring Run Rd Br #5,398,6,515,1282118.87453,455169.670309,171.869825417,515
-80.1536429721221,40.5666032180585,54,SS01,Little Sewickley Creek South,468,28,516,1300796.03046,458351.039933,217.245505398,516
-80.1496624739167,40.5501586415843,55,SS06,L. Sewickley Creek S. Br. #6,427,9,517,1301738.72647,452332.302861,100.165918584,517
-79.7445467900745,40.4434184617634,56,TC05,Thompson Creek Br #5,482,20,518,1413403.52302,410655.923789,153.434852771,518
-79.8236011876437,40.415995981587,57,TE02,Thompson Run East Branch Br #,484,49,519,1391171.51371,401175.467741,112.833630198,519
-80.1479010781723,40.3788779888617,58,TH02,Thoms Run No. 2,412,11,520,1300533.9559,389944.335182,55.4444253493,520
-80.14006651328,40.3774569013077,59,TH04,Thom's Run Bridge #4,485,5,521,1302701.8336,389367.666887,116.565051177,521
-80.1437444469374,40.377896771587,60,TH05,Thom's Run Br #5,486,4,522,1301681.86831,389555.600893,101.309825342,522
-80.1310331059969,40.3726804396355,61,TH06,Thom's Run Br #6,487,2,523,1305170.74261,387560.280592,106.927464503,523
-80.1531705378269,40.3802003194996,62,TH09,Thom's Run Br #9,488,4,524,1299079.54798,390465.776768,128.659699352,524
-79.8084872583418,40.4134849698149,63,TL10,Turtle Creek Br #10,489,25,525,1395357.4279,400162.514472,53.9282300901,525
-79.7994620392756,40.4160653180368,64,TL12,Turtle Creek Br #12,490,20,526,1397891.67493,401043.830298,70.0169638624,526
-79.8040121865504,40.4004976881876,65,TL15,Turtle Creek Br #15,490,4,527,1396493.16161,395403.553294,184.085602845,527
-79.8036364888082,40.4063835968478,66,TL16,Turtle Creek Br #16,491,5,528,1396647.62648,397544.758548,33.6900188131,528
-79.727795122407,40.4084042447669,67,TL19,TURTLE CREEK NO. 19,319,75,529,1417779.20635,397798.651655,173.165280968,529
-79.9934235043625,40.5122531126048,68,TN02,Thompson's Run North Side Br,491,12,530,1344790.32248,437386.344326,1.43200196528,530
-79.9933470177686,40.5125965330282,69,TN03,Thompson's Run North Side Br,492,17,531,1344814.76032,437510.873196,27.0127000395,531
-79.9937012956077,40.517318381955,70,TN04,Thompson's Run North Side Br,492,7,532,1344759.98639,439233.008913,22.9887560222,532
-79.9882639379672,40.5259757930416,71,TN09,Thompson's Run North Side Br,493,3,533,1346351.1562,442347.572517,3.17977380867,533
-79.9702203518948,40.5043040408029,72,WB05,Wible Run Br #5,494,17,534,1351167.03547,434328.35597,52.1250296481,534
-79.8151710333792,40.286412970771,73,WC04,Wildcat Run Br #4,495,12,535,1392414.37106,353927.0502,83.2901718285,535
-79.8234844121385,40.2850584622806,74,WC07,Wildcat Run Br #7,496,10,536,1390084.1672,353488.091564,117.758357882,536
-79.8440844985403,40.2847512081716,75,WY08,Liberty Way over Wylies Run,497,21,537,1384336.01135,353511.78865,158.805780999,537
-79.905696760015,40.2753812993453,76,XC01,Scotia Run #1, 498,22.5,539,1367068.73934,350512.985639,139.184873957,539
-79.8626291662634,40.4061480262726,77,XO01,Sixth Street Bridge,499,129.5,540,1380221.63497,397846.453988,132.429260704,540
-79.804985379948,40.2410936980239,78,YR01,Douglas Run Road over Youghio,500,606,541,1394871.04426,337355.886413,137.258752065,541
-79.8235022983628,40.3121538441125,79,YR07,Youghioghney River #7,501,5,542,1390310.91423,363356.1033,233.343881819,542
-79.8203899149502,40.314395748222,80,YR08,Youghioghney #8,502,5,543,1391197.77908,364152.224784,225.806854904,543
-79.81384821069,40.3177953573167,81,YR10,Youghioghney #10,503,22.25,544,1393050.461,365347.641382,57.9177528348,544
-79.7891272773218,40.3431407668983,82,WP02,White Oak Park No. 2,504,2.5,545,1400155.19308,374418.213331,150.422186317,545
-79.791978848064,40.3400533407127,83,WP04,White Oak Park Number 4,505,1.5,546,1399334.54059,373312.149335,157.011257403,546
-79.9979543952435,40.3962673505166,109,SW06,Sawmill Run # 6,605,72.481774,605,1342455.483,395178.447,110,605
-79.9789606482861,40.4065803178559,110,BC09,Beck's Run Rd Bridge No.9, ,0,0,0,0,-60,0
-79.9159604675894,40.2300605347599,111,PG06,Pangburn Hollow #6,402,14,235,1363800.88521,334078.142129,163.930502362,235
-79.8485454676011,40.4148182413104,112,TF01,Thorn Run East #1,222,15,1,1384217.66632,400910.593283,42.075314711,1
-79.908661992707,40.5805276345816,113,SF02,Wagner Rd. Bridge #2,223,16,2,1368958.62423,461664.421559,55.8786096191,2
-79.9874396369158,40.329206645591,114,LC13,Lick's Run Br #13,403,8,236,1344764.28342,370682.066125,168.556890547,236
-79.9860013871926,40.3255220830941,115,LC14,Lick's Run #14,404,8,237,1345131.16024,369330.081791,152.807813089,237
-79.904956319863,40.3901525949442,116,WR02,West Run Br #2,224,22.2326681566,3,1368295.42758,392305.891042,142.782416954,3
-80.0169735611841,40.3257707300564,117,CT11,Corrgian Drive #11,405,6,238,1336500.70948,369640.771727,314.430015121,238
-79.9073420376799,40.3889037725562,118,WR03,West Run Br #3,225,22.0578403011,4,1367619.96941,391867.309083,330.661578359,4
-79.9914969229578,40.3361254329753,119,LC07,Lick's Run #7,406,18,239,1343697.43373,373230.402925,177.137589178,239
-79.9117147071763,40.3809446320145,120,WR04,West Run Br #4,226,27.0647120534,5,1366331.33283,388998.478305,77.7896758607,5
-80.051217852802,40.3373429262024,121,GS01,Fort Couch Rd. #1,408,20,240,1327065.87199,374101.930801,355.207979463,240
-79.9029649714737,40.3949184108452,122,WR05,West Run Br #5,227,27.0866460995,6,1368892.2767,394028.016172,242.245505107,6
-80.028841313335,40.3610769095951,123,SW07,Saw Mill Run Br. #7,409,39.9601917133,241,1333524.73914,382583.459487,95.3170456448,241
-79.9061996417832,40.3958506785941,124,WR06,West Run Br #6,228,19.9521522805,7,1367999.87965,394389.515731,101.010011066,7
-79.9979576452619,40.3036951054393,125,CT07,Catfish Run #7,410,42.9616725329,242,1341596.24077,361465.882616,171.926834589,242
-79.970251810937,40.5091075607716,126,WB08,Wible Run Br #8,229,5,8,1351202.28112,436077.961887,347.349005274,8
-80.004935355362,40.2987757066979,127,SY01,Sleepy Hollow Bridge #1,411,18.8763647276,243,1339604.98336,359723.981751,50.3226833352,243
-79.9731650168872,40.5141751494888,128,WB09,Wible Run Br #9,230,4,9,1350438.96128,437943.89555,186.736701048,9
