OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
1,438,0,0,0,1105.35853832328,68948,19, ,Swimming Pool Entrance, , ,Swimming Pool Entrance ,Swimming Pool entrance,0,0,0,0, , , , , ,0, , ,1630,0,  6265-04, , , ,68948, ,,,, 
2,445,0,0,0,66.2907564472294,68957,9, ,Swimming Pool Entrance, , ,Swimming Pool Entrance ,Swimming Pool Entrance,0,0,0,0, , , , , ,0, , ,1630,0,  6265-03, , , ,68957, ,,,, 
3,,0,0,0,811.716837802256,60215,, ,Babcock ,Blvd, ,Babcock Blvd,Three Degree Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  2008-04,,,,,,,,,
4,,0,0,0,1001.13518810365,56389,, ,Graham ,Blvd, ,Graham Blvd,Graham blvd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3138-02,,,,,,,,,
5,,0,0,0,1764.067958729,59898,, ,Pittsburgh & McKeesport ,Blvd, ,Pittsburgh & McKeesport Blvd,Pittsburgh 7 McKeesport Blvd,5933,6149,6000,6150,Naugle St,City Limit,County, , ,2,A31,n,0,23007,  5255-00,,,,,,,,,
6,,0,0,0,906.616013041987,30666,, ,Steubenville Pike/Scott Sta ,Rd, ,Steubenville Pike/Scott Sta Rd,Scott Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6295-00,,,,,,,,,
8,,0,0,0,15645.7955412436,73539,, ,Greensburg ,Pike, ,Greensburg Pike,Greensburg Pike,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  3139-01,,,,,,,,,
9,108,0,0,0,7494.89574921832,51871,4, ,Pangburn Hollow ,Rd, ,Pangburn Hollow Rd,Ripple Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4243-02,SNOW,424302, ,51871, ,,,,Pangburn Hollow Rd
10,,0,0,0,2902.26104788328,74841,, ,Steuben ,St, ,Steuben St,Steuben St,0,0,0,0, , , , , ,2,A31,n,0,12105,  6291-00,,,,,,,,,
11,42,0,0,0,5715.61878403989,27805,29, ,Middletown-Coraopolis ,Rd, ,Middletown-Coraopolis Rd,Coraopolis Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6205-00,SNOW,620500, ,27805, ,,,,Middletown-Coraopolis Rd
