objectid,pghdbsdeDPW_ES_Divisionsarea,perimeter,env_serv_,env_serv_i,acreage,sq_miles,division,unique_id
1,7809404,13582.99023438,2,181,179,0.28,Eastern,25
2,6426384,13292.99023438,3,176,148,0.23,Northern,14
3,2125025,8998.31835938,4,176,49,0.08,Northern,14
6,98370864,87456.0234375,7,179,2258,3.52999997,Eastern,25
4,192519200,122663.296875,5,176,4420,6.90999985,Northern,14
5,9462039,13599.75976563,6,180,217,0.34, ,0
7,239079904,80999.921875,8,176,5489,8.57999992,Northern,14
8,297013088,91896.3515625,9,177,6818,10.64999962,Central,7
9,366332096,119001.1015625,10,178,8410,13.14000034,Eastern,25
10,335347488,111773.703125,11,179,7699,12.02999973,Southern,85
