FID,AREA,GRID_CODE,SQFT,ACRES,SQMI
3001,67240,14,67240,1.543618,0.002411903
3002,6724,6,6724,0.1543618,0.0002411903
3003,6724,5,6724,0.1543618,0.0002411903
3004,33620,6,33620,0.771809,0.001205952
3005,6724,6,6724,0.1543618,0.0002411903
3006,33620,5,33620,0.771809,0.001205952
3007,40344,2,40344,0.9261708,0.001447142
3008,94136,6,94136,2.161065,0.003376664
3009,9124468,5,9124468,209.469,0.3272953
3010,658952,6,658952,15.12746,0.02363666
3011,73964,5,73964,1.69798,0.002653094
3012,13448,5,13448,0.3087236,0.0004823806
3013,13448,5,13448,0.3087236,0.0004823806
3014,73964,4,73964,1.69798,0.002653094
3015,6724,4,6724,0.1543618,0.0002411903
3016,53792,6,53792,1.234894,0.001929522
3017,40344,6,40344,0.9261708,0.001447142
3018,6724,6,6724,0.1543618,0.0002411903
3019,13448,5,13448,0.3087236,0.0004823806
3020,181548,5,181548,4.167768,0.006512138
3021,235340,6,235340,5.402663,0.008441661
3022,26896,6,26896,0.6174472,0.0009647612
3023,94136,14,94136,2.161065,0.003376664
3024,6724,6,6724,0.1543618,0.0002411903
3025,33620,6,33620,0.771809,0.001205952
3026,13448,14,13448,0.3087236,0.0004823806
3027,248788,14,248788,5.711387,0.008924042
3028,40344,5,40344,0.9261708,0.001447142
3029,80688,2,80688,1.852342,0.002894284
3030,6724,6,6724,0.1543618,0.0002411903
3031,6724,14,6724,0.1543618,0.0002411903
3032,275684,6,275684,6.328834,0.009888804
3033,20172,6,20172,0.4630854,0.0007235709
3034,6724,5,6724,0.1543618,0.0002411903
3035,13448,6,13448,0.3087236,0.0004823806
3036,201720,14,201720,4.630854,0.00723571
3037,53792,5,53792,1.234894,0.001929522
3038,20172,6,20172,0.4630854,0.0007235709
3039,33620,6,33620,0.771809,0.001205952
3040,47068,5,47068,1.080533,0.001688333
3041,6724,4,6724,0.1543618,0.0002411903
3042,6724,5,6724,0.1543618,0.0002411903
3043,13448,5,13448,0.3087236,0.0004823806
3044,26896,6,26896,0.6174472,0.0009647612
3045,342924,14,342924,7.872452,0.01230071
3046,194996,11,194996,4.476492,0.006994519
3047,13448,2,13448,0.3087236,0.0004823806
3048,6724,6,6724,0.1543618,0.0002411903
3049,13448,6,13448,0.3087236,0.0004823806
3050,6724,5,6724,0.1543618,0.0002411903
3051,504300,5,504300,11.57714,0.01808928
3052,26896,6,26896,0.6174472,0.0009647612
3053,26896,6,26896,0.6174472,0.0009647612
3054,168100,5,168100,3.859045,0.006029758
3055,26896,6,26896,0.6174472,0.0009647612
3056,20172,6,20172,0.4630854,0.0007235709
3057,33620,5,33620,0.771809,0.001205952
3058,564816,5,564816,12.96639,0.02025998
3059,6724,5,6724,0.1543618,0.0002411903
3060,6724,6,6724,0.1543618,0.0002411903
3061,147928,6,147928,3.39596,0.005306188
3062,6724,5,6724,0.1543618,0.0002411903
3063,60516,6,60516,1.389256,0.002170712
3064,40344,5,40344,0.9261708,0.001447142
3065,6724,6,6724,0.1543618,0.0002411903
3066,53792,6,53792,1.234894,0.001929522
3067,13448,5,13448,0.3087236,0.0004823806
3068,73964,5,73964,1.69798,0.002653094
3069,67240,14,67240,1.543618,0.002411903
3070,20172,6,20172,0.4630854,0.0007235709
3071,26896,6,26896,0.6174472,0.0009647612
3072,134480,5,134480,3.087236,0.004823806
3073,948084,3,948084,21.76501,0.03400783
3074,73964,6,73964,1.69798,0.002653094
3075,13448,5,13448,0.3087236,0.0004823806
3076,6724,3,6724,0.1543618,0.0002411903
3077,6724,6,6724,0.1543618,0.0002411903
3078,6724,5,6724,0.1543618,0.0002411903
3079,6724,5,6724,0.1543618,0.0002411903
3080,47068,6,47068,1.080533,0.001688333
3081,13448,5,13448,0.3087236,0.0004823806
3082,6724,6,6724,0.1543618,0.0002411903
3083,20172,6,20172,0.4630854,0.0007235709
3084,194996,6,194996,4.476492,0.006994519
3085,329476,5,329476,7.563728,0.01181833
3086,6724,6,6724,0.1543618,0.0002411903
3087,20172,3,20172,0.4630854,0.0007235709
3088,13448,6,13448,0.3087236,0.0004823806
3089,73964,5,73964,1.69798,0.002653094
3090,376544,5,376544,8.64426,0.01350666
3091,6724,5,6724,0.1543618,0.0002411903
3092,20172,5,20172,0.4630854,0.0007235709
3093,40344,5,40344,0.9261708,0.001447142
3094,40344,5,40344,0.9261708,0.001447142
3095,6724,5,6724,0.1543618,0.0002411903
3096,13448,5,13448,0.3087236,0.0004823806
3097,6724,6,6724,0.1543618,0.0002411903
3098,13448,6,13448,0.3087236,0.0004823806
3099,13448,5,13448,0.3087236,0.0004823806
3100,242064,5,242064,5.557025,0.008682852
3101,363096,6,363096,8.335537,0.01302428
3102,80688,6,80688,1.852342,0.002894284
3103,13448,6,13448,0.3087236,0.0004823806
3104,26896,7,26896,0.6174472,0.0009647612
3105,26896,5,26896,0.6174472,0.0009647612
3106,726192,5,726192,16.67107,0.02604855
3107,154652,5,154652,3.550321,0.005547376
3108,194996,5,194996,4.476492,0.006994519
3109,6724,6,6724,0.1543618,0.0002411903
3110,20172,6,20172,0.4630854,0.0007235709
3111,215168,6,215168,4.939578,0.00771809
3112,1654104,3,1654104,37.973,0.05933281
3113,154652,2,154652,3.550321,0.005547376
3114,2091164,5,2091164,48.00652,0.07501019
3115,423612,5,423612,9.724793,0.01519499
3116,26896,5,26896,0.6174472,0.0009647612
3117,121032,6,121032,2.778512,0.004341425
3118,53792,5,53792,1.234894,0.001929522
3119,20172,14,20172,0.4630854,0.0007235709
3120,6724,6,6724,0.1543618,0.0002411903
3121,13448,6,13448,0.3087236,0.0004823806
3122,40344,6,40344,0.9261708,0.001447142
3123,20172,6,20172,0.4630854,0.0007235709
3124,1983580,6,1983580,45.53673,0.07115114
3125,60516,6,60516,1.389256,0.002170712
3126,20172,5,20172,0.4630854,0.0007235709
3127,26896,5,26896,0.6174472,0.0009647612
3128,47068,5,47068,1.080533,0.001688333
3129,6724,6,6724,0.1543618,0.0002411903
3130,60516,5,60516,1.389256,0.002170712
3131,53792,6,53792,1.234894,0.001929522
3132,6724,5,6724,0.1543618,0.0002411903
3133,40344,5,40344,0.9261708,0.001447142
3134,87412,2,87412,2.006703,0.003135473
3135,20172,5,20172,0.4630854,0.0007235709
3136,100860,6,100860,2.315427,0.003617855
3137,6724,11,6724,0.1543618,0.0002411903
3138,13448,5,13448,0.3087236,0.0004823806
3139,20172,6,20172,0.4630854,0.0007235709
3140,114308,7,114308,2.624151,0.004100236
3141,26896,6,26896,0.6174472,0.0009647612
3142,87412,5,87412,2.006703,0.003135473
3143,20172,5,20172,0.4630854,0.0007235709
3144,6724,6,6724,0.1543618,0.0002411903
3145,26896,6,26896,0.6174472,0.0009647612
3146,268960,5,268960,6.174472,0.009647612
3147,484128,7,484128,11.11405,0.0173657
3148,6724,5,6724,0.1543618,0.0002411903
3149,60516,6,60516,1.389256,0.002170712
3150,20172,3,20172,0.4630854,0.0007235709
3151,26896,6,26896,0.6174472,0.0009647612
3152,20172,6,20172,0.4630854,0.0007235709
3153,20172,5,20172,0.4630854,0.0007235709
3154,356372,6,356372,8.181175,0.01278309
3155,47068,5,47068,1.080533,0.001688333
3156,208444,6,208444,4.785216,0.0074769
3157,80688,6,80688,1.852342,0.002894284
3158,255512,6,255512,5.865748,0.009165231
3159,33620,5,33620,0.771809,0.001205952
3160,26896,5,26896,0.6174472,0.0009647612
3161,147928,5,147928,3.39596,0.005306188
3162,26896,5,26896,0.6174472,0.0009647612
3163,40344,5,40344,0.9261708,0.001447142
3164,6724,6,6724,0.1543618,0.0002411903
3165,13448,6,13448,0.3087236,0.0004823806
3166,6724,4,6724,0.1543618,0.0002411903
3167,40344,5,40344,0.9261708,0.001447142
3168,221892,5,221892,5.093939,0.007959279
3169,13448,6,13448,0.3087236,0.0004823806
3170,6724,6,6724,0.1543618,0.0002411903
3171,558092,6,558092,12.81203,0.0200188
3172,6724,4,6724,0.1543618,0.0002411903
3173,33620,6,33620,0.771809,0.001205952
3174,1250664,5,1250664,28.71129,0.04486139
3175,6724,6,6724,0.1543618,0.0002411903
3176,40344,6,40344,0.9261708,0.001447142
3177,228616,5,228616,5.248301,0.00820047
3178,26896,5,26896,0.6174472,0.0009647612
3179,242064,5,242064,5.557025,0.008682852
3180,194996,5,194996,4.476492,0.006994519
3181,6724,3,6724,0.1543618,0.0002411903
3182,6724,1,6724,0.1543618,0.0002411903
3183,121032,6,121032,2.778512,0.004341425
3184,26896,5,26896,0.6174472,0.0009647612
3185,6724,6,6724,0.1543618,0.0002411903
3186,20172,6,20172,0.4630854,0.0007235709
3187,33620,14,33620,0.771809,0.001205952
3188,6724,5,6724,0.1543618,0.0002411903
3189,6724,6,6724,0.1543618,0.0002411903
3190,6724,14,6724,0.1543618,0.0002411903
3191,174824,6,174824,4.013407,0.006270948
3192,26896,5,26896,0.6174472,0.0009647612
3193,6724,3,6724,0.1543618,0.0002411903
3194,134480,3,134480,3.087236,0.004823806
3195,181548,6,181548,4.167768,0.006512138
3196,80688,6,80688,1.852342,0.002894284
3197,6724,3,6724,0.1543618,0.0002411903
3198,13448,6,13448,0.3087236,0.0004823806
3199,154652,14,154652,3.550321,0.005547376
3200,26896,4,26896,0.6174472,0.0009647612
3201,174824,2,174824,4.013407,0.006270948
3202,13448,6,13448,0.3087236,0.0004823806
3203,13448,4,13448,0.3087236,0.0004823806
3204,100860,5,100860,2.315427,0.003617855
3205,33620,3,33620,0.771809,0.001205952
3206,53792,5,53792,1.234894,0.001929522
3207,26896,5,26896,0.6174472,0.0009647612
3208,181548,5,181548,4.167768,0.006512138
3209,363096,6,363096,8.335537,0.01302428
3210,20172,6,20172,0.4630854,0.0007235709
3211,6724,6,6724,0.1543618,0.0002411903
3212,26896,5,26896,0.6174472,0.0009647612
3213,6724,5,6724,0.1543618,0.0002411903
3214,114308,5,114308,2.624151,0.004100236
3215,6724,6,6724,0.1543618,0.0002411903
3216,6724,3,6724,0.1543618,0.0002411903
3217,87412,3,87412,2.006703,0.003135473
3218,47068,5,47068,1.080533,0.001688333
3219,60516,6,60516,1.389256,0.002170712
3220,13448,14,13448,0.3087236,0.0004823806
3221,40344,6,40344,0.9261708,0.001447142
3222,13448,5,13448,0.3087236,0.0004823806
3223,242064,5,242064,5.557025,0.008682852
3224,6724,5,6724,0.1543618,0.0002411903
3225,215168,3,215168,4.939578,0.00771809
3226,53792,3,53792,1.234894,0.001929522
3227,47068,6,47068,1.080533,0.001688333
3228,6724,2,6724,0.1543618,0.0002411903
3229,6724,5,6724,0.1543618,0.0002411903
3230,6724,6,6724,0.1543618,0.0002411903
3231,47068,5,47068,1.080533,0.001688333
3232,20172,6,20172,0.4630854,0.0007235709
3233,208444,6,208444,4.785216,0.0074769
3234,114308,5,114308,2.624151,0.004100236
3235,235340,3,235340,5.402663,0.008441661
3236,6724,5,6724,0.1543618,0.0002411903
3237,33620,5,33620,0.771809,0.001205952
3238,60516,5,60516,1.389256,0.002170712
3239,47068,14,47068,1.080533,0.001688333
3240,53792,11,53792,1.234894,0.001929522
3241,248788,6,248788,5.711387,0.008924042
3242,188272,6,188272,4.32213,0.006753328
3243,6724,3,6724,0.1543618,0.0002411903
3244,114308,6,114308,2.624151,0.004100236
3245,188272,3,188272,4.32213,0.006753328
3246,20172,2,20172,0.4630854,0.0007235709
3247,80688,4,80688,1.852342,0.002894284
3248,80688,5,80688,1.852342,0.002894284
3249,6724,5,6724,0.1543618,0.0002411903
3250,6724,6,6724,0.1543618,0.0002411903
3251,6724,5,6724,0.1543618,0.0002411903
3252,87412,5,87412,2.006703,0.003135473
3253,6724,4,6724,0.1543618,0.0002411903
3254,40344,6,40344,0.9261708,0.001447142
3255,127756,5,127756,2.932874,0.004582616
3256,87412,5,87412,2.006703,0.003135473
3257,47068,4,47068,1.080533,0.001688333
3258,13448,2,13448,0.3087236,0.0004823806
3259,6724,4,6724,0.1543618,0.0002411903
3260,6724,6,6724,0.1543618,0.0002411903
3261,47068,5,47068,1.080533,0.001688333
3262,6724,6,6724,0.1543618,0.0002411903
3263,6724,6,6724,0.1543618,0.0002411903
3264,40344,6,40344,0.9261708,0.001447142
3265,4363876,5,4363876,100.1808,0.1565325
3266,26896,5,26896,0.6174472,0.0009647612
3267,94136,6,94136,2.161065,0.003376664
3268,53792,5,53792,1.234894,0.001929522
3269,13448,5,13448,0.3087236,0.0004823806
3270,6724,5,6724,0.1543618,0.0002411903
3271,33620,6,33620,0.771809,0.001205952
3272,67240,3,67240,1.543618,0.002411903
3273,20172,6,20172,0.4630854,0.0007235709
3274,188272,3,188272,4.32213,0.006753328
3275,33620,5,33620,0.771809,0.001205952
3276,94136,5,94136,2.161065,0.003376664
3277,20172,3,20172,0.4630854,0.0007235709
3278,2064268,5,2064268,47.38907,0.07404542
3279,6724,6,6724,0.1543618,0.0002411903
3280,13448,3,13448,0.3087236,0.0004823806
3281,6724,3,6724,0.1543618,0.0002411903
3282,255512,14,255512,5.865748,0.009165231
3283,47068,6,47068,1.080533,0.001688333
3284,1479280,5,1479280,33.95959,0.05306186
3285,6724,5,6724,0.1543618,0.0002411903
3286,13448,6,13448,0.3087236,0.0004823806
3287,141204,2,141204,3.241598,0.005064997
3288,47068,3,47068,1.080533,0.001688333
3289,6724,5,6724,0.1543618,0.0002411903
3290,13448,5,13448,0.3087236,0.0004823806
3291,20172,5,20172,0.4630854,0.0007235709
3292,73964,6,73964,1.69798,0.002653094
3293,13448,5,13448,0.3087236,0.0004823806
3294,33620,5,33620,0.771809,0.001205952
3295,13448,2,13448,0.3087236,0.0004823806
3296,6724,5,6724,0.1543618,0.0002411903
3297,161376,5,161376,3.704683,0.005788567
3298,6724,5,6724,0.1543618,0.0002411903
3299,13448,14,13448,0.3087236,0.0004823806
3300,87412,3,87412,2.006703,0.003135473
3301,13448,3,13448,0.3087236,0.0004823806
3302,6724,5,6724,0.1543618,0.0002411903
3303,531196,6,531196,12.1946,0.019054
3304,26896,6,26896,0.6174472,0.0009647612
3305,2716496,6,2716496,62.36217,0.09744089
3306,6724,3,6724,0.1543618,0.0002411903
3307,988428,5,988428,22.69118,0.03545497
3308,60516,4,60516,1.389256,0.002170712
3309,174824,6,174824,4.013407,0.006270948
3310,13448,5,13448,0.3087236,0.0004823806
3311,121032,3,121032,2.778512,0.004341425
3312,618608,5,618608,14.20129,0.02218951
3313,329476,7,329476,7.563728,0.01181833
3314,134480,7,134480,3.087236,0.004823806
3315,53792,11,53792,1.234894,0.001929522
3316,40344,6,40344,0.9261708,0.001447142
3317,6724,6,6724,0.1543618,0.0002411903
3318,564816,3,564816,12.96639,0.02025998
3319,443784,5,443784,10.18788,0.01591856
3320,114308,5,114308,2.624151,0.004100236
3321,13448,3,13448,0.3087236,0.0004823806
3322,6724,6,6724,0.1543618,0.0002411903
3323,13448,6,13448,0.3087236,0.0004823806
3324,6724,5,6724,0.1543618,0.0002411903
3325,6724,6,6724,0.1543618,0.0002411903
3326,100860,5,100860,2.315427,0.003617855
3327,6724,4,6724,0.1543618,0.0002411903
3328,20172,5,20172,0.4630854,0.0007235709
3329,6724,5,6724,0.1543618,0.0002411903
3330,20172,5,20172,0.4630854,0.0007235709
3331,6724,3,6724,0.1543618,0.0002411903
3332,33620,6,33620,0.771809,0.001205952
3333,13448,6,13448,0.3087236,0.0004823806
3334,6724,5,6724,0.1543618,0.0002411903
3335,26896,5,26896,0.6174472,0.0009647612
3336,26896,11,26896,0.6174472,0.0009647612
3337,80688,5,80688,1.852342,0.002894284
3338,6724,6,6724,0.1543618,0.0002411903
3339,1768412,3,1768412,40.59715,0.06343304
3340,161376,6,161376,3.704683,0.005788567
3341,67240,6,67240,1.543618,0.002411903
3342,282408,5,282408,6.483196,0.01012999
3343,60516,14,60516,1.389256,0.002170712
3344,13448,6,13448,0.3087236,0.0004823806
3345,215168,5,215168,4.939578,0.00771809
3346,107584,5,107584,2.469789,0.003859045
3347,13448,3,13448,0.3087236,0.0004823806
3348,13448,6,13448,0.3087236,0.0004823806
