X,Y,STREETNAME,USRN,X_Coord,Y_Coord,OBJECTID
-6.46559599150836,54.3966279750917,ARTABRACKAGH ROAD,25324,299709,350864,1001
-5.92175827533387,54.5840517930261,ARTANA STREET,5656,334411,372629,1002
-6.71849488442954,54.3961457284037,ARTASOOLY ROAD,5629,283285,350482,1003
-6.45001990044603,54.4180994730549,ARTHUR AVENUE,25320,300668,353276,1004
-5.92596204841067,54.6538027286146,ARTHUR AVENUE,5628,333910,380384,1005
-5.92726539160162,54.6534656498893,ARTHUR CRESCENT,5627,333827,380344,1006
-5.92694333461544,54.6540082189155,ARTHUR PARK,5625,333846,380405,1007
-5.92737946072638,54.5979492683196,ARTHUR PLACE,5624,334002,374165,1008
-5.92787766988376,54.6545273714062,ARTHUR ROAD,5623,333784,380461,1009
-5.92746620351937,54.5986785423678,ARTHUR SQUARE,5655,333994,374246,1010
-5.92778008972637,54.5979830857856,ARTHUR STREET,5654,333976,374168,1011
-6.33818716095915,54.4615528381891,ARTHUR STREET,23710,307813,358278,1012
-6.08156393012283,54.463041957609,ARTHUR STREET,5653,324448,358867,1013
-6.32951343699194,54.1799771855987,ARTHUR STREET,5652,309118,326952,1014
-6.80652339952467,55.1432358211209,ARTIDILLON ROAD,18432,276152,433544,1015
-6.13721852493226,54.4683155791759,ARTIFINNY ROAD,5650,320824,359357,1016
-6.66361931375657,55.1380601888236,ARTILLERY ROAD,5649,285275,433133,1017
-7.32088226696521,54.9943221005059,ARTILLERY STREET,5648,243515,416526,1018
-6.3884324565024,54.7501882172531,ARTLONE ROAD,25790,303818,390329,1019
-6.20266372499756,54.8971013305029,ARTOGES PARK,17959,315359,406972,1020
-5.94775443621797,54.5949811202001,ARUNDEL COURTS,5729,332695,373796,1021
-5.94792192572292,54.5941124156252,ARUNDEL WALK,5728,332687,373699,1022
-7.21178838673671,54.5976799609673,ARVALEE ROAD,5727,250994,372445,1023
-6.06434265531513,54.5285279144963,ASCOT CRESCENT,5726,325364,366186,1024
-5.86127029664207,54.5843722007448,ASCOT GARDENS,5725,338320,372782,1025
-5.86307091444429,54.5854373183267,ASCOT MEWS,5724,338200,372897,1026
-5.71277253091696,54.5987098631566,ASCOT PARK,5665,347867,374680,1027
-5.86051618984055,54.584592480286,ASCOT PARK,5723,338368,372808,1028
-7.43119764736051,54.8930957647096,ASH AVENUE,17899,236546,405194,1029
-6.66602937161778,54.8424983068677,ASH DRIVE,5664,285749,400229,1030
-6.66748164431666,54.8518032539374,ASH GLYNN,37014,285636,401263,1031
-5.8373330940675,54.6314513550913,ASH GREEN,5663,339706,378069,1032
-6.74895520100168,54.6560374570559,ASH GROVE,5662,280792,379375,1033
-5.69978873973611,54.5995239854795,ASH GROVE,5660,348703,374798,1034
-5.84566709725499,54.8516428851815,ASH GROVE,5661,338415,402559,1035
-6.26862414964664,54.8799027545027,ASH PARK,5659,311175,404951,1036
-6.76536478267543,54.5015853506763,ASHBEG GROVE,5658,280035,362164,1037
-5.9508369341238,54.6783507650688,ASHBOURNE,5657,332225,383069,1038
-6.55117137763734,54.7762470256682,ASHBOURNE,18352,293280,393001,1039
-7.3172261739815,54.5895441736612,ASHBOURNE CLOSE,5722,244188,371468,1040
-7.31887260340282,54.5891402213003,ASHBOURNE COURT,5720,244082,371422,1041
-6.75220411175741,54.5160580768493,ASHBOURNE COURT,5721,280859,363790,1042
-7.31547711207684,54.5905314394427,ASHBOURNE GROVE,5719,244300,371579,1043
-7.316406675873,54.5904468621388,ASHBOURNE HEIGHTS,5718,244240,371569,1044
-6.3084606616956,54.8674014656189,ASHBOURNE MANOR,5717,308652,403497,1045
-7.60746371755026,54.3545268328046,ASHBOURNE MANOR,40067,225571,345163,1046
-6.68885674884321,55.1239973211472,ASHBOURNE PARK,5716,283695,431537,1047
-6.03190134739249,54.5301335556342,ASHBOURNE PARK,5715,327459,366423,1048
-7.32096731382393,54.589682012972,ASHBOURNE PARK,38684,243946,371481,1049
-7.31533976984006,54.5894975793334,ASHBOURNE VIEW,5714,244310,371464,1050
-6.46786889887774,54.4335378761224,ASHBROOK,25319,299472,354969,1051
-7.47651152585849,54.8070821106503,ASHBROOK,5713,233710,395596,1052
-6.68245379876955,55.1308811865622,ASHBROOK COURT,5712,284089,432311,1053
-5.86616918277636,54.6078380950212,ASHBROOK CRESCENT,5711,337924,375384,1054
-5.86674372044283,54.6078032997743,ASHBROOK DRIVE,5710,337887,375379,1055
-6.56502836793871,55.0659975244001,ASHBROOK DRIVE,17664,291727,425236,1056
-6.64284462909366,55.114869507658,ASHBROOK GROVE,5709,286650,430577,1057
-6.33064254855903,54.1922482839414,ASHBROOK MEWS,5708,309012,328316,1058
-6.56562702211181,55.0663279820255,ASHBROOK PARK,17665,291688,425272,1059
-6.94123134559476,55.0451748886122,ASHBROOK PARK,5707,267728,422489,1060
