OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID
1,CHESWICK,BOROUGH,Cheswick Borough,Allegheny Valley North,Allegheny Valley,4,13392,NH,350.19128417,0.54717391,815,003100,7,NEWCOM,East,Alle-Kiski Valley,1966,f29648dc-0d4f-4e35-8f2d-7b465dcff308
4,EDGEWORTH,BOROUGH,Edgeworth Borough,Quaker Valley,Quaker Valley,20,22576,AA,1030.74377441,1.61053752,824,003170,1,Northwest Regional,North,Northwest,1974,7e8bdba9-9260-48e1-91f0-cb52295b551e
5,SEWICKLEY,BOROUGH,Sewickley Borough,Quaker Valley,Quaker Valley,20,69376,AA,718.30957031,1.12235879,851,003490,1,Northwest Regional,North,Northwest,1972,1441bb31-e106-4064-af15-f91865a3f9cd
6,SEWICKLEY HEIGHTS,BOROUGH,Sewickley Heights Borough, ,Quaker Valley,14,69400,AA,4738.98974609,7.40467166,869,003500,2,Northwest Regional,North,Northwest,1976,3ce63efc-d770-42e5-b926-aa5b58a9ed7c
8,HARMAR,TOWNSHIP,Harmar Township,Allegheny Valley North,Allegheny Valley,18,32624,NH,4060.85864257,6.34509229,915,003250,7,NEWCOM,East,Alle-Kiski Valley,1967,47ac83a5-9584-40e1-83d9-5dbf7cacf798
9,FOX CHAPEL,BOROUGH,Fox Chapel Borough,North Hills,Fox Chapel Area,18,27120,NH,5025.40039062,7.85218763,868,003215,3,NEWCOM,North,North,1961,9cec60fe-3b73-46dd-b87e-80c10336c321
12,FRANKLIN PARK,BOROUGH,Franklin Park Borough,North Hills,North Allegheny,14,27552,NH,8670.26953125,13.54729652,884,003223,2,Northwest Regional,North,North,1988,0036e079-d3e4-4438-b4bc-154c2d49d5df
13,BELL ACRES,BOROUGH,Bell Acres Borough,Quaker Valley,Quaker Valley,14,5216,AA,3385.00341796,5.28906726,883,003028,2, ,North,Northwest,1978,14bb2ba1-43db-4faa-8606-c1836d8d03a0
14,LEET,TOWNSHIP,Leet Township,Quaker Valley,Quaker Valley,14,42368,AA,1024.35229492,1.60055005,921,003302,1,Northwest Regional,North,Northwest,1974,095fe692-50db-4f0d-8e2e-66c529d734b6
15,LEETSDALE,BOROUGH,Leetsdale Borough,Quaker Valley,Quaker Valley,14,42392,AA,753.32281494,1.17706692,836,003305,1,Northwest Regional,North,Northwest,1974,cb2b1592-b691-411c-a702-f6db0518b2cd
16,SEWICKLEY HILLS,BOROUGH,Sewickley Hills Borough, ,Quaker Valley,14,69416,AA,1564.79345703,2.44498896,882,003505,2,Northwest Regional,North,Northwest,1976,f590d4c3-3ee1-4118-933e-18c66aff8fef
17,OHIO,TOWNSHIP,Ohio Township,North Hills,Avonworth,14,56392,NH,4355.54785156,6.80554389,932,003410,2,Northwest Regional,North,Northwest,1976,c47771dc-fb14-4830-a752-48d8c6f20ec7
18,RICHLAND,TOWNSHIP,Richland Township,North Hills,Pine-Richland,4,64528,NH,9362.0078125,14.62813758,938,003465,2,NEWCOM,North,North,1989,1508ad5c-78d5-426b-86ce-38f91251c541
19,MCCANDLESS,TOWNSHIP,McCandless Township,North Hills,North Allegheny,14,45900,NH,10586.79785156,16.54187583,927,003320,2,Northwest Regional,North,North,1987,52ec9087-0585-4d67-9108-a6d838a13ec1
22,HAYSVILLE,BOROUGH,Haysville Borough,Quaker Valley,Quaker Valley,20,33312,AA,137.77037048,0.21526624,832,003260,4,Northwest Regional,North,Northwest,1971,f56dcbed-98ca-4af6-866b-5930666af43a
25,FRAZER,TOWNSHIP,Frazer Township,Allegheny Valley North,Deer Lakes,4,27608,NH,5990.69384765,9.36045932,913,003225,3,NEWCOM,East,Alle-Kiski Valley,1980,aa1cd14b-9e0e-4cde-ab39-7666edf54222
26,FAWN,TOWNSHIP,Fawn Township,Allegheny Valley North,Highlands,4,25400,NH,8234.72949218,12.86676406,909,003195,3,NEWCOM,East,Alle-Kiski Valley,1980,c2e59b0f-dbfe-4977-a64e-1cf4a7b35cda
27,HARRISON,TOWNSHIP,Harrison Township,Allegheny Valley North,Highlands,4,32832,NH,5015.97558593,7.83746242,916,003255,3,NEWCOM,East,Alle-Kiski Valley,1972,a1997247-8cc0-4c49-a489-7c8f8d7b0df9
28,TARENTUM,BOROUGH,Tarentum Borough,Allegheny Valley North,Highlands,4,76104,NH,903.48876953,1.4117012,855,003555,3,NEWCOM,East,Alle-Kiski Valley,1969,0e76751d-fefc-495e-885a-ba6d57b20007
30,GLEN OSBORNE,BOROUGH,Glen Osborne Borough,Quaker Valley,Quaker Valley,20,57200,AA,358.95779418,0.56087154,846,003415,4,Northwest Regional,North,Northwest,1971,9ba4c380-ca58-4b63-b666-adb7604ace9a
31,EMSWORTH,BOROUGH,Emsworth Borough,Quaker Valley,Avonworth,14,23616,NH,434.30648803,0.67860388,826,003185,1,Northwest Regional,North,Northwest,1957,9ecdc221-1dd3-40f4-b670-f6a33130bfd5
32,GLENFIELD,BOROUGH,Glenfield Borough,Quaker Valley,Quaker Valley,20,29592,AA,639.73962402,0.99959313,830,003235,4,Northwest Regional,North,Northwest,1971,8ec80cbb-13bb-415b-a268-ecb08859198b
34,AVALON,BOROUGH,Avalon Borough,Quaker Valley,Northgate,14,3608,NH,437.83358764,0.68411499,802,003015,1,Northwest Regional,North,Northwest,1955,2d297c51-54a6-4013-8328-9cdac6743d57
35,MILLVALE,BOROUGH,Millvale Borough,North Hills,Shaler Area,18,49920,NH,441.88302612,0.6904422,838,003345,3,NEWCOM,North,North,1956,f4572946-c0eb-4c4f-bc90-1ec711755465
37,NEVILLE,TOWNSHIP,Neville Township,Char-West,Cornell,14,53136,AA,1500.70092773,2.34484529,928,003375,4,Northwest Regional,West,West,1970,e01edc50-befa-498d-b0f6-5049f400400f
38,BEN AVON,BOROUGH,Ben Avon Borough,Quaker Valley,Avonworth,14,5504,NH,284.06405639,0.44385015,804,003035,1,Northwest Regional,North,Northwest,1956,ea373915-8deb-4ae1-ac5c-dc1093741b11
39,BEN AVON HEIGHTS,BOROUGH,Ben Avon Heights Borough, ,Avonworth,14,5520,NH,109.5397644,0.17115594,805,003040,1,Northwest Regional,North,Northwest,1956,ed185fe5-3b0d-492f-8054-ca80f74db277
41,RESERVE,TOWNSHIP,Reserve Township,North Hills,Shaler Area,18,64240,NH,1299.43811035,2.0303719,937,003460,3,NEWCOM,North,North,1959,a9363ce6-0dc5-46c6-9907-d016a126f717
42,SHALER,TOWNSHIP,Shaler Township,North Hills,Shaler Area,18,69584,NH,7172.96484375,11.20775794,944,003510,3,NEWCOM,North,North,1965,7476f99d-a034-4739-9980-7d4433758070
43,EAST DEER,TOWNSHIP,East Deer Township,Allegheny Valley North,Deer Lakes,4,21024,NH,1613.70178222,2.52140927,907,003150,3,NEWCOM,East,Alle-Kiski Valley,1968,297910ac-50ef-49a2-b9be-cc917be15257
54,WILKINSBURG,BOROUGH,Wilkinsburg Borough,Turtle Creek Valley,Wilkinsburg,18,85188,ES,1445.36950683,2.25839066,866,003640,10,East Regional,East,Mon Valley,1952,3652b67d-2dad-45da-84ac-7bc166cf9c6b
64,PLUM,BOROUGH,Plum Borough,Turtle Creek Valley,Plum Borough,4,61536,ES,18545.42578125,28.97723388,880,003445,7,East Regional,East,East,1997,775a637c-50bf-4cd7-bd36-45c8fe3791c8
65,BRADDOCK HILLS,BOROUGH,Braddock Hills Borough,Steel Rivers,Woodland Hills,18,8008,MV,603.87060546,0.94354778,872,003065,8,East Regional,East,Mon Valley,1953,944e21e4-4f6b-45b3-ba2b-8d3103d8c95e
66,RANKIN,BOROUGH,Rankin Borough,Turtle Creek Valley,Woodland Hills,18,63408,MV,311.50842285,0.48673188,849,003455,8,East Regional,East,Mon Valley,1953,296faf34-2af8-4572-9132-4347b47ebf2e
