FID,FEATURECOD,UPDATE_YEA,SHAPE_area,SHAPE_len
1,430,2004,25111.6041581,843.887678919
2,430,2004,7987.23705215,334.906257483
3,430,2004,16955.9056592,516.410923687
4,420,2004,19637.5153181,578.273348216
5,430,2004,20932.4520852,635.615252542
6,430,2004,28079.9282047,737.176784088
7,430,2004,2597.17933515,223.958731812
8,430,2004,144025.191772,1658.83564832
9,470,2004,42178862.5565,56064.6012284
10,420,2004,25924.64369,653.084534639
11,420,2004,51748.4328981,1655.26741836
12,450,2004,69880.6823313,1566.42389971
13,520,2004,22517.702232,1545.15904733
14,450,2004,20170.382704,896.941533899
15,420,2004,44955.6792898,842.341933477
16,430,2004,13154.8989645,445.565082772
17,420,2004,35688.8699988,750.926546631
18,430,2004,20254.0112785,534.895962204
19,460,2004,2144283.98337,158264.043827
20,470,2004,1621430.67556,8882.48462977
21,430,2004,13149.8837438,1141.51189428
22,430,2004,83219.3238051,1185.07316742
23,430,2004,25499.4558736,784.361033965
24,430,2004,49780.35052,933.036835379
25,460,2004,86711.3123893,15895.2955782
26,430,2004,6974.72253516,332.749743117
27,460,2004,219818.259749,3463.29026515
28,430,2004,8031.06524196,397.272295319
29,430,2004,26980.0899555,624.944798882
30,470,2004,6400304.04769,13192.7025096
31,430,2004,34468.4398625,801.554734604
32,470,2004,9683.6203946,779.879731383
33,430,2004,56667.320675,1744.16628413
34,430,2004,26316.0511424,823.169021151
35,430,2004,28083.5448413,696.81294756
36,470,2004,11801.3075755,412.716947665
37,430,2004,3874.35189038,366.41199173
38,430,2004,69577.1391612,1333.42274851
39,420,2004,23180.520574,579.089203659
40,430,2004,3267.67050388,219.375254937
41,430,2004,2829.54915526,241.249027197
42,420,2004,11895.0032263,450.838919532
43,430,2004,3315.98822274,259.17588942
44,430,2004,25301.1868738,691.596087655
45,430,2004,6418.84083769,372.233172169
46,430,2004,188018.80539,2505.37845175
47,430,2004,5862.81453201,324.58498138
48,420,2004,57401.3957661,1126.33445194
49,430,2004,38265.014122,912.216978646
50,470,2004,1935.47077663,261.325996474
51,430,2004,6635.32962511,304.837108895
52,430,2004,27980.7553538,640.365553282
53,430,2004,3803.01475014,268.865631604
54,470,2004,3196.63205522,340.43620212
55,420,2004,100557.440454,1463.80768947
56,430,2004,6878.84172234,346.95529722
57,430,2004,12583.2056751,501.299301374
58,420,2004,32053.1073044,737.124902472
59,430,2004,5406.3904222,391.018303681
60,430,2004,72858.9546278,1183.75205335
61,430,2004,136086.847808,2963.53775923
62,430,2004,69719.2539821,1085.52767086
63,470,2004,19392.6395921,692.156401986
64,430,2004,163763.220514,2460.53958832
65,420,2004,34680.9492163,1252.46768255
66,470,2004,2010.61451443,185.334331326
67,470,2004,374656.604221,3970.7497023
68,430,2004,5416.31653452,276.007797798
69,430,2004,2125.73215857,173.871273019
70,470,2004,666968.868853,4627.4481391
71,430,2004,9706.6634472,400.565791526
72,470,2004,30741.7221961,1115.0408548
73,430,2004,15912.3436588,498.629202695
74,430,2004,3677.25292303,318.183056605
75,420,2004,45965.565761,848.252213044
76,430,2004,4196.36031139,269.035098217
77,420,2004,112298.941112,1935.79854551
78,430,2004,7599.57195809,396.526130935
79,430,2004,5818.66697301,363.150580992
80,420,2004,52061.8966765,1216.87869228
81,430,2004,5687.7759878,279.447456694
82,430,2004,42163.6856172,955.714135577
83,420,2004,145218.296943,4068.23942964
84,460,2004,45620.0141071,2480.75388173
85,470,2004,402.174992373,78.1102525304
86,430,2004,54696.793796,1053.92131821
87,470,2004,14055.4257586,874.558803417
88,430,2004,48689.6289872,1212.56706806
89,430,2004,3880.97096295,279.803091126
90,430,2004,34403.4582319,813.607866657
91,430,2004,11008.3117563,486.287820392
92,470,2004,73682.4212749,2143.20844158
93,430,2004,2338.69319867,180.270789569
94,470,2004,3319.4599124,353.859385583
95,430,2004,16693.3789399,469.394261002
96,420,2004,23707.1403479,1590.16970729
97,460,2004,903551.4606,53852.2664596
98,420,2004,127786.649706,3749.05271995
99,470,2004,386775.207477,2923.99236409
100,430,2004,54785.3951486,948.463007554
101,470,2004,936998.137926,6844.91161425
102,470,2004,3333.68744762,206.626952335
103,420,2004,16237.9897409,544.283971139
104,420,2004,155833.723018,4505.01066917
105,460,2004,1061006.65316,77241.7056356
106,470,2004,2617.36186323,249.520680591
107,430,2004,32714.979265,792.929695016
108,420,2004,58662.6915064,1028.27640674
109,420,2004,44768.3275868,845.894736101
110,430,2004,19209.5420271,634.100295565
111,420,2004,46869.7632271,1212.31748572
112,470,2004,3840.0389521,254.2169782
113,420,2004,8172.36785089,629.682253328
114,420,2004,3097.82676729,327.723835109
115,470,2004,662.478815083,92.8871938941
116,420,2004,49168.7203451,1155.94234448
117,420,2004,7307.82742833,909.093727663
118,420,2004,27403.1422716,950.509591639
119,470,2004,1087.60224251,121.398110952
120,420,2004,24036.2042282,727.122885023
121,430,2004,38409.4448269,873.237275951
122,430,2004,64130.8656719,1043.78700253
123,430,2004,23969.1778005,675.543174456
124,420,2004,133056.002342,3056.03767337
125,420,2004,42611.0725581,1660.76828673
126,470,2004,3633.55241969,269.135181682
127,430,2004,20729.6875517,865.335821236
128,470,2004,1560.59660092,146.789878842
129,470,2004,88662.8429288,1298.34761259
130,470,2004,1457.27506319,143.955685825
131,420,2004,56564.4770169,1233.84644931
132,420,2004,146983.332505,2907.29118428
133,460,2004,5368915.84084,220225.248843
134,420,2004,62814.8860374,1626.51870869
135,460,2004,5287.89179429,840.592313582
136,410,2004,306831.681196,5576.65672363
137,470,2004,6015.10851973,341.685942337
138,470,2004,2996.40710502,264.560047808
139,420,2004,81585.6536964,1173.7661951
140,470,2004,1987.88387158,182.565914358
141,430,2004,64053.8593002,968.654208582
142,470,2004,1134.59561527,132.64693507
143,420,2004,85046.5576199,1365.49527839
144,470,2004,1883.90954279,204.422826313
145,470,2004,444.648217699,85.5327182617
146,470,2004,1653.94909805,225.509891944
147,470,2004,1591.52800457,216.135643609
148,470,2004,11791.4233853,651.135177607
149,430,2004,5170.47705508,283.541636858
150,460,2004,43400.394318,5998.30556959
151,430,2004,1643.84887749,183.115820323
152,460,2004,65201.6569762,8156.13849962
153,430,2004,3927.39213599,266.492011459
154,430,2004,6159.12442032,297.904495769
155,420,2004,46744.4171365,808.068154435
156,430,2004,2306.33346538,189.114533761
157,470,2004,43612.5855663,1554.32444323
158,470,2004,165233.652612,2117.03315242
159,430,2004,20949.525906,557.631638517
160,430,2004,3806.03181627,253.075967795
161,470,2004,14930.9829111,629.198121537
162,430,2004,43087.4186462,1125.27909842
163,430,2004,954.902286361,122.636163779
164,420,2004,51327.409818,1765.58047021
165,430,2004,29894.4667584,698.350643419
166,430,2004,6428.42326756,406.545876147
167,430,2004,52575.009711,1016.53002689
168,430,2004,3970.24664359,239.78781251
169,470,2004,18739.2620379,694.165227356
170,430,2004,6342.22444203,320.356909878
171,420,2004,2818.24848651,305.889640582
172,460,2004,4649.84906732,406.980456711
173,420,2004,9340.60313581,480.143976853
174,450,2004,463461683.543,1197080.60274
175,430,2004,27055.3390461,800.284253593
176,460,2004,629690.080502,41338.4170237
177,430,2004,30.6455688771,33.1037659423
178,430,2004,4235.17816245,299.143708557
179,460,2004,34257.6905174,1519.40048294
180,430,2004,39784.5871567,855.603733847
181,430,2004,3616.48345776,458.538979929
182,430,2004,148983.801051,2095.08718139
183,430,2004,19275.5792862,947.441396437
184,430,2004,49987.5792716,1325.2964299
185,430,2004,11757.5057046,476.430699857
186,420,2004,59888.6041228,1312.92923471
187,460,2004,3310.19806612,466.493410184
188,430,2004,19448.0929648,573.369964371
189,420,2004,29753.0015875,701.89857729
190,430,2004,37249.9690367,1200.66345685
191,430,2004,30135.4509232,846.520473361
192,460,2004,5056.57739553,490.869929873
193,430,2004,57675.0468476,1402.9473269
194,460,2004,1316014.4264,91286.5575373
195,430,2004,99504.5591269,2063.54390033
196,470,2004,1154.07699908,154.48651656
197,470,2004,912.837375796,169.808961517
198,470,2004,3111.80840348,349.293309128
199,470,2004,1275.50076619,164.664510884
200,420,2004,501792.229877,4988.15707046
201,470,2004,5487.6222412,391.006129525
202,470,2004,3301.13570756,275.959028881
203,430,2004,17129.135684,543.35504425
204,410,2004,272274.622724,2580.63674531
205,430,2004,3237.72347213,244.566896521
206,470,2004,1812.81736151,216.909784693
207,470,2004,3526.33077733,270.012132445
208,470,2004,2779.65963071,294.677427001
209,470,2004,7353.34951942,505.3676107
210,470,2004,2478.07555706,221.165850224
211,460,2004,2595381.75753,179875.638053
212,430,2004,14230.6768093,484.498164856
213,430,2004,56141.5339177,1351.37034988
214,430,2004,11181.7410168,384.12224498
215,430,2004,171901.357756,2023.96985822
216,460,2004,113822.090232,3219.31282367
217,430,2004,49262.0688409,1126.80324598
218,430,2004,97178.490703,1190.92971661
219,470,2004,23488.2138583,767.096992421
220,430,2004,135663.386257,1681.44332274
221,430,2004,10933.293601,418.578837211
222,430,2004,16196.8376579,543.393020721
223,460,2004,7475.10073365,1611.88034069
224,430,2004,13715.0808227,430.929574468
225,430,2004,49946.638705,840.915257007
226,430,2004,93108.6860923,1381.00313811
227,430,2004,3145.92766628,211.432870271
228,430,2004,1259.61037098,145.142581588
229,430,2004,1777.93925428,166.22411815
230,430,2004,698.113748362,102.80608833
231,430,2004,2767.09740012,209.180264076
232,430,2004,22116.2029479,540.702150945
233,430,2004,911.789276755,131.09495059
234,430,2004,87154.3243473,1387.19394049
235,430,2004,5556.40926714,309.670167877
236,430,2004,8194.96371887,541.732799432
237,430,2004,2023.89092661,175.003192189
238,430,2004,11075.0670644,510.233275596
239,430,2004,40856.5185477,892.216995833
240,430,2004,74452.6677995,1104.80155165
241,430,2004,15312.5530023,464.16688037
242,430,2004,25563.7338486,780.858550951
243,430,2004,28564.0270985,668.063439104
244,430,2004,55562.6718996,1058.29971124
245,430,2004,51011.9216198,906.468261117
246,420,2004,5598.83504037,419.08877719
247,460,2004,31714.102053,2239.81911542
248,430,2004,27322.5723971,644.041093724
249,430,2004,13995.5068478,481.600781843
250,430,2004,7805.04638897,471.680542377
251,430,2004,20162.3542755,546.504524141
252,460,2004,4771.08196394,447.346702088
253,430,2004,39387.0045494,1131.42180552
254,430,2004,5063.16963872,265.451778942
255,420,2004,17473.5960427,763.088417682
256,430,2004,5079.74212629,284.993258314
257,430,2004,3350.20796401,219.999021104
258,430,2004,3543.44036956,357.91173765
259,430,2004,39739.6991616,826.291275996
260,430,2004,5204.22765851,278.913583724
261,430,2004,1442.5086142,167.886396356
