objectid,pghdbsdeUndermined_Areaarea,perimeter,undermin_,undermin_i,acres,sqmiles,und_aa_field
1,68457.48882208,1116.37011131,2,55,1.572,0.002,Y
2,1061396.3215113,4167.01465314,3,1,24.366,0.038,Y
3,269146.24696248,2139.15036033,4,30,6.179,0.01,Y
4,558816.48768643,3029.91341139,5,3,12.829,0.02,Y
5,51914.69349341,856.02898692,6,29,1.192,0.002,Y
8,9375.06128232,402.08197686,9,45,0.215,0,Y
6,843288.13201957,3790.37728631,7,23,19.359,0.03,Y
9,173800.00883899,1554.87469362,10,28,3.99,0.006,Y
11,1174247.9689442,5328.57200635,12,24,26.957,0.042,Y
7,2609607.6038862,8266.00977766,8,4,59.908,0.094,Y
10,951019.47557116,4897.63805928,11,38,21.832,0.034,Y
12,967258.18239349,5677.67167137,13,37,22.205,0.035,Y
13,2018430.2118255,9129.35376557,14,27,46.337,0.072,Y
14,2354209.1654102,8102.27042489,15,5,54.045,0.084,Y
15,885565.83480275,3815.83329985,16,25,20.33,0.032,Y
16,119201.195185,1276.13886449,17,6,2.736,0.004,Y
17,716733.08744805,3315.07535646,18,26,16.454,0.026,Y
27,486891.15929054,2964.3995185,28,56,11.177,0.017,Y
28,142030774.14236,132295.78674086,29,34,3260.578,5.095,Y
18,226336.40146089,2825.87345195,19,40,5.196,0.008,Y
19,155238.44099172,1785.7907469,20,42,3.564,0.006,Y
20,6485.86645075,561.19779898,21,43,0.149,0,Y
21,48520.73948798,955.05649524,22,41,1.114,0.002,Y
22,19749631.351951,30163.84885825,23,2,453.389,0.708,Y
23,3706966.8210571,12446.76125562,24,39,85.1,0.133,Y
24,797302.63587644,3687.0026919,25,7,18.304,0.029,Y
25,147115566.32874,150278.0468974,26,33,3377.309,5.277,Y
26,231905.22036678,1992.3179544,27,31,5.324,0.008,Y
29,4461831.5157941,13594.61422194,30,10,102.43,0.16,Y
30,819446.53629072,4107.56842365,31,9,18.812,0.029,Y
31,145620.11704826,1509.30416015,32,8,3.343,0.005,Y
34,724608.44392464,3767.67047589,35,12,16.635,0.026,Y
32,4511151.8599213,12368.66601272,33,32,103.562,0.162,Y
33,342032.55449921,2344.60020629,34,11,7.852,0.012,Y
47,724490.54133521,3802.43707867,48,18,16.632,0.026,Y
35,817953.31300067,3596.45969436,36,13,18.778,0.029,Y
36,14191302.550208,28703.85028979,37,15,325.787,0.509,Y
37,1699298.1195508,6780.83006255,38,14,39.011,0.061,Y
38,18311403.690953,32482.43698971,39,36,420.372,0.657,Y
39,940160.57343393,4287.30727591,40,16,21.583,0.034,Y
40,38519885.933233,53385.09464001,41,17,884.295,1.382,Y
41,205770.02424627,1858.21059905,42,21,4.724,0.007,Y
42,337000.70000151,2230.63263285,43,22,7.736,0.012,Y
43,11080.77281049,916.98167866,44,44,0.254,0,Y
44,4562488.3766269,11145.80304898,45,35,104.74,0.164,Y
45,3366125.7782587,11465.9069374,46,20,77.276,0.121,Y
46,136920.28785128,1790.85668911,47,19,3.143,0.005,Y
