X,Y,OBJECTID_1,OBJECTID,Muni,LocName,Prefix,House,Fraction,Street,Suffix1,Suffix2,City,Zip,Leadman,MuniName,MWD,MWD2,NewAddress
-80.1397846276733,40.5322422017098,1,1,101,ALEPPO TWP MUNICIPAL BUILDING, ,100, ,NORTH,DR, ,SEWICKLEY,15143-2381,37,ALEPPO,1010001,1010001,100 NORTH DR
-79.9043642818877,40.4903942727828,2,2,102,ASPINWALL NEW BORO BLDG, ,217, ,COMMERCIAL,AVE, ,ASPINWALL,15215-3024,38,ASPINWALL,1020001,1020001,217 COMMERCIAL AVE
-79.9037812627486,40.4991968435265,3,3,102,#2  FIRE HOUSE STATION, ,201, ,12TH,ST, ,PITTSBURGH,15215,38,ASPINWALL,1020002,1020002,201 12TH ST
-79.9010234613651,40.4917702471725,4,4,102,ST SCHOLASTICA PASTORIAL CENTER, ,300, ,MAPLE,AVE, ,ASPINWALL,15215,38,ASPINWALL,1020003,1020003,300 MAPLE AVE
-80.0677206323027,40.5009907046525,5,5,103,AVALON BORO BLDG, ,640, ,CALIFORNIA,AVE, ,AVALON,15202-2499,36,AVALON,1030100,1030100,640 CALIFORNIA AVE
-80.062796682383,40.497116400533,6,6,103,AVALON PUBLIC LIBRARY CONF. RM.,S,317, ,HOME,AVE, ,AVALON,15202-2805,36,AVALON,1030201,1030201,317 HOME AVE
-80.0616956506476,40.4981055082929,7,7,103,EPIPHANY CHURCH,S,317, ,HOME,AVE, ,AVALON,15202-2805,36,AVALON,1030202,1030202,317 HOME AVE
-80.0623469724445,40.4991813418087,8,8,103,GREENSTONE UNITED METHODIST CHURCH, ,939, ,CALIFORNIA,AVE, ,AVALON,15202-3034,36,AVALON,1030302,1030302,939 CALIFORNIA AVE
-80.0623469724445,40.4991813418087,9,9,103,GREENSTONE UNITED METHODIST CHURCH GYM, ,939, ,CALIFORNIA,AVE, ,AVALON,15202-3034,36,AVALON,1030303,1030303,939 CALIFORNIA AVE
-79.970549924747,40.3957270025081,10,10,104,LAFFERTY CENTER, ,330, ,JOSEPH,ST, ,PITTSBURGH,15227,55,BALDWIN BR,1040001,1040001,330 JOSEPH ST
-79.970549924747,40.3957270025081,11,11,104,LAFFERTY CENTER, ,330, ,JOSEPH,ST, ,PITTSBURGH,15227,55,BALDWIN BR,1040002,1040002,330 JOSEPH ST
-79.9569186233128,40.3833174503117,12,12,104,BALDWIN BORO BLDG, ,3344, ,CHURCHVIEW,AVE, ,PITTSBURGH,15227,55,BALDWIN BR,1040003,1040003,3344 CHURCHVIEW AVE
-79.9718224525633,40.3481114153013,13,13,104,OPTION INDEPENDENT FIRE CO, ,825, ,STREETS RUN,RD, ,PITTSBURGH,15236,34,BALDWIN BR,1040005,1040005,825 STREETS RUN RD
-79.9626472795628,40.357003174235,14,14,104,WALLACE BUILDING, ,41, ,MACEK,DR, ,BALDWIN BORO,15227,55,BALDWIN BR,1040009,1040009,41 MACEK DR
-79.9570601576503,40.3833778081384,15,15,104,BORO BLDG, ,3344, ,CHURCHVIEW,AVE, ,BALDWIN BORO,15227,55,BALDWIN BR,1040016,1040016,3344 CHURCHVIEW AVE
-79.9626472795628,40.357003174235,16,16,104,WALLACE BUILDING, ,41, ,MACEK,DR, ,PITTSBURGH,15227,55,BALDWIN BR,1040018,1040018,41 MACEK DR
-80.0176003761538,40.3794161042299,17,17,105,MUNICIPAL BLDG UPPER LEVEL HL, ,10, ,COMMUNITY PARK,DR, ,PITTSBURGH,15234-2402,54,BALDWIN TP,1050001,1050001,10 COMMUNITY PARK DR
-80.0176003761538,40.3794161042299,18,18,105,MUNICIPAL BLDG UPPER LEVEL, ,10, ,COMMUNITY PARK,DR, ,PITTSBURGH,15234-2402,54,BALDWIN TP,1050002,1050002,10 COMMUNITY PARK DR
-80.0489839043355,40.4925159208493,19,19,107,ROOFERS LOCAL UNION #37 MEETING RM, ,230, ,LINCOLN,AVE, ,BELLEVUE,15202-3827,36,BELLEVUE,1070101,1070101,230 LINCOLN AVE
