Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/5/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,740.8,.000 C ,22.0,23.5,15,32.9,.000 C ,147,3.7
01:00,740.6,.000 C ,22.0,23.4,13,36.6,.000 C ,154,3.4
02:00,740.5,.000,22.1,22.8,9,40.1,.000,173,3.1
03:00,740.2,.000,22.1,22.3,9,40.0,.000,171,2.8
04:00,740.1,.000,22.1,21.7,10,39.1,.000,137,1.9
05:00,740.3,.000,22.1,21.3,12,32.8,.000,98,1.8
06:00,740.3,.000,22.1,22.1,13,35.7,.000,152,2.3
07:00,740.4,.000,22.1,23.1,11,33.8,.000,186,3.4
08:00,740.0,.000,21.9,24.4,17,38.7,.000,192,3.6
09:00,739.8,.000,21.7,26.4,12,40.4,.000,179,3.7
10:00,739.8,.000,21.7,27.4,12,44.0,.000,185,3.8
11:00,739.4,.000,21.4,28.5,12,43.3,.000,199,4.1
12:00,738.8,.000,21.3,29.5,12,40.3,.000,199,4.9
13:00,738.5,.000,21.0,29.9,10,39.8,.000,204,5.2
14:00,738.1,.000,21.2,29.4,14,49.3 - ,.000,192,5.4
15:00,737.7,.000,21.3,29.5,14,44.6,.000,200,5.6
16:00,737.3,.000,21.1,30.2,13,52.6,.000,214,5.0
17:00,737.1,.000,21.3,29.1,14,46.6,.000,210,4.7
18:00,737.3,.000,21.5,28.2,10,35.9,.000,204,3.7
19:00,737.3,.000,21.7,27.6,10,37.0,.000,204,3.7
20:00,737.3,.000,21.7,26.9,18,37.9,.000,199,3.6
21:00,737.5,.000,21.8,26.2,13,41.9,.000,183,3.1
22:00,737.4,.000,21.8,25.6,15,40.1,.000,184,3.1
23:00,737.3,.000,21.9,25.0,16,52.1,.000,196,3.1
Avg,738.9,.000,21.7,26.0,12,40.6,.000,183,3.6
Max,740.8,.000,22.1,30.2,18,52.6,.000,214,5.6
Hr. of Max,00,23,07,16,20,16,23,16,15
Min,737.1,.000,21.0,21.3,9,32.8,.000,98,1.8
Count,24,24,24,24,24,24,24,24,24
Total,,,,,,,,,
Date Printed:,,08/11/2016 10:34,,,,,,Allegheny County Health Department,
,,,,Daily Summary Report,,,,,
Site:,Avalon,,,,8/6/2016,,,Interval:,001h
,BP,H2S,INT_T,OUT_T,PM25B,SIGTHETA,SO2,SONICWD,SONICWS
Hour,MM/HG,PPM,DEGC,DEGC,UG/M3,DEG,PPM,DEG,MPH
00:00,737.2,.000 C ,22.0,23.6,20,46.8,.000 C ,270,4.0
01:00,737.0,.000 C ,22.0,23.5,14,44.6,.000 C ,251,4.1
02:00,737.0,.000,22.0,22.9,11,44.6,.000,303,2.4
03:00,736.7,.000,22.1,22.8,13,41.6,.000,318,1.8
04:00,736.8,.000,22.1,22.9,13,48.9,.000,244,1.9
05:00,737.1,.000,22.1,22.9,14,43.5,.000,299,2.0
06:00,737.2,.000,22.1,23.2,21,44.8,.000,316,2.4
07:00,737.5,.000,22.0,23.6,13,32.5,.000,316,3.7
08:00,737.7,.000,22.0,24.4,17,43.7,.000,324,4.4
