X,Y,FID,PERIMETER,PUBLICBL_I,FACILITY,FACILITY_C,ADDRESS,CITY,ZIPCODE,CLASS,MUNICODE
-80.0547197820453,40.4566752415399,1,0,42,Sheraden Park Entrance Building,B318,Thornton St,Pittsburgh,15205,City of Pittsburgh,100
-79.9969669990523,40.4417962423124,2,0,29,Mellon Square Park Building,B355,Sixth Ave,Pittsburgh,15219,City of Pittsburgh,100
-79.8899998551096,40.4670948718078,3,0,3,Chadwick Maintenance Building,B263,Oberlin & Mingo St,Pittsburgh,15206,City of Pittsburgh,100
-80.0049283746955,40.4191084223637,4,0,27,Mckinley Southern Division Service Garage,B201,Gearing Ave,Pittsburgh,15210,City of Pittsburgh,100
-79.9686658881855,40.523490524714,5,0,59,Shaler Township Building,,300 Wetzel Rd,Glenshaw,15116,,944
-80.0235943290793,40.4407261589943,6,0,16,Grandview Radio Tower Building,B280,Grandview Ave,Pittsburgh,15211,City of Pittsburgh,100
-79.8722221780475,40.3493263309294,7,0,101,Port Vue Borough Building,,1191 Romine Ave,Port Vue,15133,,848
-80.0030896831764,40.4273366011319,8,0,15,Grandview Overlook Building,B207,Bailey Ave,Pittsburgh,15211,City of Pittsburgh,100
-79.8679985293175,40.4106519517181,9,0,102,Rankin Borough Building,,320 Hawkins Ave,Rankin,15104,,849
-79.9413169039789,40.4344240879042,10,0,37,Schenley Nature Museum,B066,Panther Hollow Rd,Pittsburgh,15217,City of Pittsburgh,100
-79.7519712173362,40.6009673268372,11,0,108,Tarentum Borough Building,,318 Second Ave,Tarentum,15084,,855
-80.0852657277972,40.3858097624765,12,0,58,Scott Township Building,,2600 Old Greentree Rd,Carnegie,15106,,941
-79.9751750949277,40.3735159089488,13,0,33,Brentwood Borough Building,,3624 Brownsville Rd,Pittsburgh,15227,,810
-80.0664241264392,40.4453380724676,14,0,88,Ingram Borough Building,,40 W Prospect Ave,Pittsburgh,15205,,835
-79.9250320783683,40.4946656021019,15,0,105,Sharpsburg Borough Building,,1611 Main St,Pittsburgh,15215,,852
-80.0878737965403,40.392604604772,16,0,86,Heidelberg Borough Building,,1631 Railroad St,Heidelberg,15106,,833
-80.0877933164827,40.4337075934475,17,0,109,Thornburg Borough Building,,235 Tech Rd,Pittsburgh,15205,,856
-79.8566228924191,40.3253368435068,18,0,90,Liberty Borough Building,,2921 Liberty Way,McKeesport,15133,,837
-79.8248222104981,40.4049836068889,19,0,111,Turtle Creek Borough Building,,125 Monroeville Ave,Turtle Creek,15145,,858
-79.7972770397354,40.5387123519119,20,0,68,Cheswick Borough Building,,220 South Atlantic Ave,Cheswick,15024,,815
-80.123379126364,40.4817863296385,21,0,40,Kennedy Township Building,,340 Forest Grove Rd,Coraopolis,15108,,919
-80.0792674203584,40.5825308985407,22,0,12,Franklin Park Borough Building,,2344 West Ingomar Rd,Pittsburgh,15237,,884
-79.9036326383793,40.4014908524985,23,0,118,Whitaker Borough Building,,1705 Maple St,Homestead,15120,,865
-79.8599976887159,40.4944189767266,24,0,29,Blawnox Borough Building,,376 Freeport Rd,Pittsburgh,15238,,806
-80.1016955357592,40.5209222512346,25,0,41,Kilbuck Township Building,,343 Eicher Rd,Pittsburgh,15237,,920
-80.0562055327891,40.4659061475092,26,0,95,McKees Rocks Borough Building,,340 Bell Ave,McKees Rocks,15136,,842
-79.8051368305383,40.5524633909544,27,0,63,Springdale Township Building,,1331 Pillow Ave,Harwick,15049,,948
-79.9864962621409,40.416529068256,28,0,92,Mount Oliver Borough Building,,150 Brownsville Rd,Pittsburgh,15210,,839
-80.0452466352559,40.3785095277025,29,0,45,Mount Lebanon Township Building,,710 Washington Rd,Pittsburgh,15228,,926
-79.9042814445925,40.3992419286537,30,0,93,Munhall Borough Building,,1900 West St,Munhall,15120,,840
-79.8831866631297,40.5047437912562,31,0,121,Fox Chapel Borough Building,,401 Fox Chapel Rd,Pittsburgh,15238,,868
