X,Y,BM_Height,Easting,Northing,OBJECTID
-5.77989088546286,54.623495575284,BM 145.57,343442.812,377299.325,3001
-6.84961320672669,55.0158710088777,BM 145.59,273637.964,419319.458,3002
-6.84961320672669,55.0158710088777,BM 145.59,273637.964,419319.458,3003
-6.81923665689272,54.2441170205259,BM 145.65,277025.315,333445.723,3004
-6.17964903744851,54.2734094932731,BM 145.67,318633.761,337592.391,3005
-6.02347173326307,54.4092508138529,BM 145.67,328382.567,352984.517,3006
-5.93039414772899,54.3118129364286,BM 145.71,334743.712,342314.033,3007
-7.43180061356054,54.5594245505117,BM 145.78,236808.247,368049.205,3008
-6.79292194254593,54.2339818880177,BM 145.79,278760.048,332346.648,3009
-6.75175666427796,55.0268915923742,BM 145.79,279875.579,420653.655,3010
-6.75175666427796,55.0268915923742,BM 145.79,279875.579,420653.655,3011
-6.34055653777711,55.219853816055,BM 145.79,305659.763,442679.962,3012
-7.46854303110291,54.6927760550099,BM 145.83,234318.85,382875.163,3013
-6.14682880297439,54.5739357911904,BM 145.91,319891.183,371096.042,3014
-7.67438117302029,54.6540276862724,BM 145.98,221065.639,378480.574,3015
-7.67438117302029,54.6540276862724,BM 145.98,221065.639,378480.574,3016
-7.67438117302029,54.6540276862724,BM 145.98,221065.639,378480.574,3017
-6.16148667578245,54.8009844345729,BM 145.98,318281.312,396342.276,3018
-6.9244837461056,54.5905100432553,BM 145.99,269575.38,371893.182,3019
-7.38580171773393,54.9953904194726,BM 146.01,239358.848,416606.495,3020
-6.81044001174486,54.7701568669384,BM 146.02,276608.522,392009.143,3021
-6.3858379316571,54.781268234904,BM 146.02,303905.402,393792.309,3022
-7.45344824972926,54.5615919550902,BM 146.05,235405.883,368279.368,3023
-7.45344824972926,54.5615919550902,BM 146.05,235405.883,368279.368,3024
-5.89366793600063,54.8859507327134,BM 146.06,335217.637,406283.679,3025
-6.79325789323308,54.2181510458346,BM 146.14,278768.266,330584.216,3026
-6.15146428540662,54.1937533541277,BM 146.17,320701.84,328774.808,3027
-5.98648487492612,54.4070567773205,BM 146.22,330790.755,352808.364,3028
-6.2016431277683,54.2955455255885,BM 146.25,317138.307,340019.313,3029
-6.99021368329289,54.9611678854174,BM 146.29,264732.084,413090.859,3030
-6.23569850787712,54.9226961115622,BM 146.35,313168.013,409766.987,3031
-5.92497078267087,54.3927563430341,BM 146.38,334831.351,351332.769,3032
-6.72890084921085,54.9594765336833,BM 146.42,281473.598,413175.489,3033
-7.26325202643721,54.4157619301809,BM 146.44,247879.863,352158.627,3034
-6.80300226819897,54.2392001688095,BM 146.44,278092.907,332916.278,3035
-7.58201025179345,54.6524927697478,BM 146.49,227028.777,378341.297,3036
-7.58201025179345,54.6524927697478,BM 146.49,227028.777,378341.297,3037
-6.77870734535124,54.2101157661788,BM 146.50,279732.872,329706.172,3038
-5.92529817215578,54.5046567289226,BM 146.51,334442.965,363785.947,3039
-5.89611202425621,54.5002958923654,BM 146.53,336347.822,363356.769,3040
-6.24919997631999,54.2808145194352,BM 146.54,314082.925,338301.875,3041
-7.095172774196,54.6031353662325,BM 146.56,258523.375,373143.087,3042
-6.11589404152581,54.55287236682,BM 146.60,321954.316,368804.878,3043
-6.02318944599371,54.7720856667581,BM 146.61,327264.656,393367.884,3044
-7.28222186849112,54.6430157886065,BM 146.62,246390.074,377442.882,3045
-7.32727400723211,54.6799647583962,BM 146.73,243442.01,381527.191,3046
-5.99213987261143,54.4080551228289,BM 146.73,330420.443,352908.991,3047
-5.92251220628895,54.3935497082626,BM 146.74,334988.42,351425.772,3048
-7.3192421573036,54.6785761997913,BM 146.81,243961.59,381377.614,3049
-7.3928010225064,54.2678613371509,BM 146.82,239611.205,335615.055,3050
-7.38882836729939,54.2680450510112,BM 146.94,239869.867,335637.74,3051
-5.98832474928353,54.3687163869571,BM 146.94,330793.175,348537.891,3052
-6.76989757262986,54.7794771946655,BM 147.07,279199.504,393091.657,3053
-6.76988280297465,54.7794886156482,BM 147.07,279200.432,393092.945,3054
-5.87364913801914,54.8519120051982,BM 147.07,336617.162,402534.031,3055
-7.33488088092917,54.6830740708806,BM 147.09,242948.061,381868.64,3056
-5.75819024967417,54.6118149106149,BM 147.13,344885.696,376043.878,3057
-7.263141747263,54.8472008509236,BM 147.20,247383.078,400185.463,3058
-7.263141747263,54.8472008509236,BM 147.20,247383.078,400185.463,3059
-7.263141747263,54.8472008509236,BM 147.20,247383.078,400185.463,3060
-7.263141747263,54.8472008509236,BM 147.20,247383.078,400185.463,3061
-6.45742050921123,54.1605349127964,BM 147.20,300814.611,324598.132,3062
-6.16495714472908,54.8317539826277,BM 147.21,317968.457,399761.229,3063
-6.09752082821738,54.8638727918636,BM 147.21,322204.292,403451.772,3064
-7.55760433851045,54.6254715436406,BM 147.24,228623.08,375342.958,3065
-7.55760433851045,54.6254715436406,BM 147.24,228623.08,375342.958,3066
-7.37498907944902,54.7838426488447,BM 147.35,240261.17,393062.454,3067
-6.22739136497793,54.1414398008986,BM 147.35,315892.73,322825.493,3068
-6.09818631480435,54.1992923555737,BM 147.44,324162.272,329483.602,3069
-7.56154228525213,54.7332609789994,BM 147.49,228293.739,387340.534,3070
-7.56350012721074,54.3630530378434,BM 147.54,228423.591,346128.912,3071
-7.29684249727102,54.4833310941734,BM 147.58,245623.983,359657.763,3072
-6.25115868594564,54.1354774714359,BM 147.69,314356.056,322123.212,3073
-7.36744218809516,54.8305549466936,BM 147.78,240699.781,398266.9,3074
-6.82160948325097,54.2556732611581,BM 147.80,276849.152,334729.418,3075
-6.12100097887827,54.661745421966,BM 147.87,321299.787,380913.664,3076
-5.95843580108171,54.7332245603899,BM 147.9,331557.194,389162.092,3077
-5.78643631516103,54.6077770148148,BM 147.95,343075.257,375536.615,3078
-6.0791318044435,54.6837155450829,BM 147.96,323934.344,383432.072,3079
-7.30917263125072,54.29742087565,BM 148.01,245027.788,338955.509,3080
-6.52794500850979,54.214335447156,BM 148.04,296083.243,330487.889,3081
-6.09166514345522,54.191008933387,BM 148.04,324612.715,328573.196,3082
-5.85205354628199,54.7906410421031,BM 148.05,338213.053,395757.025,3083
-5.85205354628199,54.7906410421031,BM 148.05,338213.053,395757.025,3084
-5.85205354628199,54.7906410421031,BM 148.05,338213.053,395757.025,3085
-6.60229548207593,54.0969915453224,BM 148.12,291491.428,317328.762,3086
-7.25957976301672,54.3295065333197,BM 148.16,248219.179,342559.79,3087
-7.25888795726396,54.4556512004428,BM 148.18,248116.437,356601.836,3088
-7.46839194381211,54.4331849709538,BM 148.20,234547.201,353978.119,3089
-6.43347698955355,54.90341593011,BM 148.22,300536.437,407319.104,3090
-7.49207316208781,54.5080954871986,BM 148.25,232950.214,362305.53,3091
-7.49207316208781,54.5080954871986,BM 148.25,232950.214,362305.53,3092
-6.29033908737753,55.0037889476685,BM 148.28,309444.393,418706.47,3093
-7.15448274606704,54.467787556969,BM 148.31,254871.704,358029.106,3094
-6.06457067460885,54.30775811616,BM 148.42,326024.649,341614.747,3095
-7.75282629357322,54.587144384637,BM 148.50,216028.579,371014.445,3096
-6.7027773162787,54.2509490095147,BM 148.53,284603.203,334339.442,3097
-6.09766644466816,54.6604465832437,BM 148.53,322809.296,380809.653,3098
-7.40432463793514,54.5640791869914,BM 148.55,238581.403,368582.066,3099
-7.07299529855574,54.857181061645,BM 148.56,259582.825,401441.541,3100
-7.07299529855574,54.857181061645,BM 148.56,259582.825,401441.541,3101
-6.41962464204177,54.94492114392,BM 148.56,301320.611,411959.094,3102
-6.05050588052127,54.4103505106216,BM 148.61,326624.097,353057.982,3103
-6.023672327514,54.3646353744508,BM 148.62,328508.868,348018.683,3104
-7.68398655101646,54.7268208175401,BM 148.64,220409.139,386581.158,3105
-7.274534818356,54.2481066074875,BM 148.85,247339.448,333488.927,3106
-7.23449391366557,54.8332370795053,BM 148.93,249240.332,398650.737,3107
-7.24045990728666,54.330725435414,BM 148.96,249461.604,342708.703,3108
-8.02294850144558,54.4189288200805,BM 149.02,198558.694,352261.032,3109
-6.02004555767389,54.3008122446306,BM 149.05,328944.11,340922.177,3110
-6.81833276637568,55.1309032155019,BM 149.08,275422.237,432158.299,3111
-7.07457414595334,54.5453293808189,BM 149.13,259939.268,366725.762,3112
-6.16231846199678,54.7976788014146,BM 149.15,318237.475,395972.941,3113
-7.24888150495782,54.8767597956208,BM 149.24,248263.825,403485.746,3114
-7.24888150495782,54.8767597956208,BM 149.24,248263.825,403485.746,3115
-7.37788831072664,54.5853634761158,BM 149.40,240270.517,370966.196,3116
-7.00650850804196,54.9059805366756,BM 149.43,263775.553,406932.425,3117
-5.97603856574312,54.4977228956454,BM 149.48,331178.773,362918.481,3118
-6.00723160177877,54.7825783264153,BM 149.56,328258.274,394564.799,3119
-6.43475577023105,54.8681965591383,BM 149.57,300542.063,403396.954,3120
-5.9896611624167,54.2711077544144,BM 149.67,331016.122,337672.253,3121
-7.11038131532924,54.6028635010508,BM 149.89,257540.923,373100.272,3122
-6.10736355717474,54.6650860205198,BM 149.97,322169.677,381309.115,3123
-7.06264614322846,54.6841800160697,BM 149.99,260504.938,382192.211,3124
-5.71692144925085,54.3317108419309,BM 15.04,348563.093,344957.241,3125
-6.66447456818748,54.5065006989065,BM 15.07,286560.475,362830.52,3126
-6.63276056362679,54.5134551131056,BM 15.08,288599.658,363644.069,3127
-7.25855660778653,55.0079515878353,BM 15.10,247487.983,418083.822,3128
-5.9360483902126,54.5852398008068,BM 15.13,333483.362,372733.991,3129
-6.45622645694454,54.7479067573644,BM 15.16,299458.657,389976.851,3130
-6.48522794367173,54.8854920640866,BM 15.22,297260.191,405250.892,3131
-5.71245220044225,54.2533611361166,BM 15.22,349136.64,336247.431,3132
-6.45556841072843,54.8129388103285,BM 15.23,299341.546,397216.495,3133
-6.11780945572101,54.0683617227875,BM 15.25,323269.935,314877.674,3134
-6.56087283371938,54.4823777207511,BM 15.29,293326.026,360277.826,3135
-6.62360021934378,55.0993329561971,BM 15.29,287912.025,428871.536,3136
-5.56975296925444,54.3001182893425,BM 15.30,358255.857,341761.602,3137
-6.50102990148031,54.875837709845,BM 15.32,296269.171,404154.417,3138
-6.58463403734492,55.0681556020201,BM 15.32,290469.634,425450.678,3139
-6.52038335450715,55.2112506070086,BM 15.32,294236.329,441464.661,3140
-5.58400095138798,54.3204131560495,BM 15.33,357251.094,343988.205,3141
-5.9774613664306,54.5643194704675,BM 15.35,330873.387,370327.774,3142
-5.65692003992085,54.6640548259933,BM 15.36,351233.291,382071.19,3143
-6.51706035327719,54.6509168131968,BM 15.37,295769.745,379096.414,3144
-5.77622903928989,54.2565483356577,BM 15.37,344969.555,336469.245,3145
-5.57111297594501,54.4080540687665,BM 15.38,357753.24,353770.019,3146
-5.57111297594501,54.4080540687665,BM 15.38,357753.24,353770.019,3147
-5.57111297594501,54.4080540687665,BM 15.38,357753.24,353770.019,3148
-5.64661306369108,54.4417084279357,BM 15.39,352726.799,357348.841,3149
