X,Y,objectid,id_1,buff_dist,orig_fid,created_user,created_date,last_edited_user,last_edited_date,cid,st_area_shape_,st_length_shape_
-79.896659975,40.4564636815,1,TS110,40,1,,,SDE,2015/08/11 14:08:33+00,22,0,0
-79.9345972721,40.458119023,2,TS73,40,2,,,SDE,2015/08/11 14:08:43+00,572,0,0
-79.9157888498,40.460806474,3,TS151,40,3,,,SDE,2015/08/11 14:08:34+00,49,0,0
-79.943680429,40.408571179,4,TS573,40,4,,,SDE,2015/08/11 14:08:34+00,91,0,0
-80.0013404763,40.4507755809,5,TS34,40,5,,,SDE,2015/08/11 14:08:42+00,515,0,0
-79.9489344649,40.4635091707,6,TS616,40,6,,,SDE,2015/08/11 14:08:43+00,566,0,0
-79.9544518168,40.4804143747,7,TS174,40,7,,,SDE,2015/08/11 14:08:39+00,360,0,0
-79.9865335176,40.4377314932,8,TS340,40,8,,,SDE,2015/08/11 14:08:37+00,226,0,0
-79.9093360894,40.3768946759,9,TS141,40,9,,,SDE,2015/08/11 14:08:34+00,86,0,0
-79.9711674691,40.4282110574,10,TS586,40,10,,,SDE,2015/08/11 14:08:40+00,376,0,0
-80.0045646511,40.4558429025,11,TS603,40,11,,,SDE,2015/08/11 14:08:42+00,500,0,0
-80.0036346639,40.4390783473,12,TS26,40,12,,,SDE,2015/08/11 14:08:37+00,237,0,0
-79.9480510257,40.4843978045,13,TS641,40,13,,,SDE,2015/08/11 14:08:39+00,364,0,0
-80.0025581768,40.4494869447,14,TS416,40,14,,,SDE,2015/08/11 14:08:43+00,578,0,0
-79.9166161685,40.4584163563,15,TS673,40,15,,,SDE,2015/08/11 14:08:43+00,556,0,0
-79.9555233803,40.4110243253,16,TS88,40,16,,,SDE,2015/08/11 14:08:40+00,372,0,0
-79.9489444362,40.4615961611,17,TS592,40,17,,,SDE,2015/08/11 14:08:43+00,547,0,0
-79.9952372279,40.4436501577,18,TS433,40,18,,,SDE,2015/08/11 14:08:37+00,233,0,0
-79.9275605457,40.4326075595,19,TS404,40,19,,,SDE,2015/08/11 14:08:35+00,111,0,0
-79.92207148,40.4591934937,20,TS512,40,20,,,SDE,2015/08/11 14:08:43+00,562,0,0
-80.0395724846,40.4752605322,21,TS39,40,21,,,SDE,2015/08/11 14:08:42+00,485,0,0
-79.9459627167,40.4600036266,22,TS423,40,22,,,SDE,2015/08/11 14:08:37+00,206,0,0
-79.9978647615,40.4539728499,23,TS266,40,23,,,SDE,2015/08/11 14:08:42+00,507,0,0
-79.9876657847,40.3966896876,24,TS163,40,24,,,SDE,2015/08/11 14:08:40+00,404,0,0
-79.8737226495,40.4599408452,25,TS372,40,25,,,SDE,2015/08/11 14:08:44+00,596,0,0
-79.9549036083,40.4509757583,26,TS116,40,26,,,SDE,2015/08/11 14:08:36+00,189,0,0
-80.0076696348,40.4476858712,27,TS548,40,27,,,SDE,2015/08/11 14:08:43+00,569,0,0
-80.0017948325,40.4419235162,28,TS422,40,28,,,SDE,2015/08/11 14:08:38+00,290,0,0
-79.9123013428,40.4633274608,29,TS458,40,29,,,SDE,2015/08/11 14:08:34+00,58,0,0
-79.9078463341,40.4842690903,30,TS16,40,30,,,SDE,2015/08/11 14:08:33+00,1,0,0
-80.0430767604,40.4788616711,31,TS566,40,31,,,SDE,2015/08/11 14:08:42+00,484,0,0
-80.0140182867,40.4524050904,32,TS149,40,32,,,SDE,2015/08/11 14:08:41+00,468,0,0
-79.9622902168,40.4687069928,33,TS175,40,33,,,SDE,2015/08/11 14:08:39+00,333,0,0
-79.9625302853,40.4272684047,34,TS657,40,34,,,SDE,2015/08/11 14:08:43+00,575,0,0
-79.9645970464,40.4254662976,35,TS643,40,35,,,SDE,2015/08/11 14:08:43+00,544,0,0
-80.0002597967,40.4432305129,36,TS493,40,36,,,SDE,2015/08/11 14:08:38+00,301,0,0
-79.9814313527,40.4374998553,37,TS331,40,37,,,SDE,2015/08/11 14:08:37+00,229,0,0
-79.9926875891,40.4531861601,38,TS232,40,38,,,SDE,2015/08/11 14:08:42+00,510,0,0
-79.9086220222,40.4702810711,39,TS477,40,39,,,SDE,2015/08/11 14:08:33+00,5,0,0
-79.9480659342,40.4611276297,40,TS278,40,40,,,SDE,2015/08/11 14:08:43+00,561,0,0
-80.0008538841,40.4445553315,41,TS345,40,41,,,SDE,2015/08/11 14:08:38+00,281,0,0
-80.0188971897,40.4515179114,42,TS17,40,42,,,SDE,2015/08/11 14:08:41+00,462,0,0
-79.9547755184,40.4444181122,43,TS119,40,43,,,SDE,2015/08/11 14:08:36+00,181,0,0
-80.0016933857,40.4533120808,44,TS207,40,44,,,SDE,2015/08/11 14:08:42+00,499,0,0
-80.0095969523,40.41419811,45,TS427,40,45,,,SDE,2015/08/11 14:08:40+00,415,0,0
-80.0215464562,40.3948488422,46,TS154,40,46,,,SDE,2015/08/11 14:08:40+00,425,0,0
-80.018312329,40.449678313,47,TS15,40,47,,,SDE,2015/08/11 14:08:41+00,461,0,0
-79.9649248965,40.4528831793,48,TS90,40,48,,,SDE,2015/08/11 14:08:37+00,245,0,0
-80.0145680961,40.4539663431,49,TS146,40,49,,,SDE,2015/08/11 14:08:41+00,469,0,0
-79.9227629834,40.4659428448,50,TS271,40,50,,,SDE,2015/08/11 14:08:34+00,75,0,0
