FID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,SHAPE_Leng,SHAPE_Area
1,15003,AMBRIDGE,NON-UNIQUE,PA,42,42007,BEAVER,150,40.6094768902,-80.2202416258,105077.59668,192938012.076
2,15007,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6566882959,-79.9321296633,15906.504113,10445720.65
3,15014,BRACKENRIDGE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6079643791,-79.7408315507,16836.0664617,15259605.3415
4,15015,BRADFORD WOODS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6364525,-80.0852352386,33814.6671132,27497933.0684
5,15018,BUENA VISTA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.2894077301,-79.7912368774,46711.1727129,50520611.8563
6,15020,BUNOLA,PO BOX,PA,42,42003,ALLEGHENY,150,40.2197914124,-79.9630241394,86393.8931964,37615479.3705
7,15024,CHESWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.5739905929,-79.8472093399,185602.758705,488782319.372
8,15025,CLAIRTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.2841628426,-79.9153734136,149505.351692,455951145.824
9,15026,CLINTON,NON-UNIQUE,PA,42,42007,BEAVER,150,40.5123415939,-80.3739045398,194076.365131,709472628.794
10,15034,DRAVOSBURG,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,0,0,27557.1871821,29885395.682
11,15030,CREIGHTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.5880667754,-79.77999563,60954.3403919,47577431.0648
12,15035,EAST MC KEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.3984680176,-79.8183326721,17850.0414256,11765601.0055
13,15045,GLASSPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.3265447372,-79.8860740072,33299.5682228,49829636.4956
14,15046,CRESCENT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.5556383954,-80.2283241183,37121.050197,63324835.4021
15,15047,GREENOCK,PO BOX,PA,42,42003,ALLEGHENY,150,40.3112193373,-79.7964099559,14602.9118327,8297050.68219
