FID,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,ZIPL,ZIPR,MCDL,MCDR,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,GDTLINK,ONEWAY,UNIQUE_ID,ROUTE_NO,SYSTEMID,USERID,FEATURECOD,UPDATE_YEA,MODIFIEDBY,MODIFIEDON,CREATEDBY,CREATEDON,Shape_Leng
1001, ,Marwood,Rd, ,Marwood Rd, ,0,0,0,0, , , , , , , ,Orange,Yes,0, , , ,0, ,69801,97,1630,1994, , , , ,499.726798379
1002, ,Grant,St, ,Grant St, ,651,699,650,698,Strawberry Way,Seventh Ave,15219,15219,100,100,City,Purple, ,2,A31, ,n,12476, ,8390,51635021,1600,2004, , , , ,170.471141743
1003, ,Connor,Rd, ,Connor Rd, ,0,0,0,0, , , , , , , ,Yellow,Yes,0, , , ,0, ,57600,64,1620,1994, , , , ,39.281647012
1004, ,Blvd of the Allies, , ,Blvd of the Allies, ,441,499,440,498,First St,Grant St,15219,15219,100,100,State,Purple,Yes,4,A31, ,n,13697, ,71868,51635058,1600,2004, , , , ,106.881850834
1005, ,Connor,Rd, ,Connor Rd, ,0,0,0,0, , , , , , , ,Yellow,Yes,0, , , ,0, ,57606,27,1620,1994, , , , ,1261.32659992
1006, ,Beechwood,Blvd, ,Beechwood Blvd, ,3615,3635,3592,3598,Monitor St,Monitor St Ext,15217,15217,100,100,City,Blue, ,2,A31, ,n,16415, ,10394,51686188,1600,2004, , , , ,345.415138251
1007, ,Beechwood,Blvd, ,Beechwood Blvd, ,3573,3613,3578,3590,Welfer St,Monitor St,15217,15217,100,100,City,Blue, ,2,A31, ,n,16615, ,10518,51650302,1600,2004, , , , ,78.4606438659
1008, ,Cochran,Rd, ,Cochran Rd, ,0,0,0,0, , , , , , , ,Yellow,Yes,0, , , ,0,US 19,77714,87,1630,1994, , , , ,30.3182600092
1009, ,Clifton,Rd, ,Clifton Rd, ,0,0,0,0, , , , , , , ,Orange,Yes,0, , , ,0, ,58338,30,1630,1994, , , , ,406.700685199
1010, ,Forward,Ave, ,Forward Ave, ,5703,5799,5700,5798,I-279 Ramp,Murray Ave,15217,15217,100,100,City,Blue, ,2,A31, ,n,15643, ,59690,51650277,1600,2004, , , , ,555.728773897
1011, ,Clifton,Rd, ,Clifton Rd, ,0,0,0,0, , , , , , , ,Orange,Yes,0, , , ,0, ,58272,51,1630,1994, , , , ,717.768332005
1012, ,Forward,Ave, ,Forward Ave, ,5703,5799,5700,5798,I-279 Ramp,Murray Ave,15217,15217,100,100,City,Blue, ,2,A31, ,n,15643, ,59690,51650277,1600,2004, , , , ,84.8638221693
