WARD93_ID,WARDS,DATASET,OSNI_SCALE,LGD,AREA_SQKMS,AREA_SQM,PERIM_M,PERIM_KM,OBJECTID
101,ALDERGROVE,WARDS 1993,1:50000,Antrim,156.692306332,156692306.332,65404.5739289,65.4045739289,1
102,BALLOO,WARDS 1993,1:50000,Antrim,5.14036241531,5140362.41531,10542.4278381,10.5424278381,2
103,BALLYCRAIGY,WARDS 1993,1:50000,Antrim,0.57411205117,574112.05117,3245.63360193,3.24563360193,3
104,CLADY,WARDS 1993,1:50000,Antrim,80.2766756887,80276675.6887,56926.0107949,56.9260107949,4
105,CRANFIELD,WARDS 1993,1:50000,Antrim,55.1790490015,55179049.0015,40133.2832949,40.1332832949,5
106,CRUMLIN,WARDS 1993,1:50000,Antrim,14.7102828485,14710282.8485,20304.613481,20.304613481,6
107,DRUMANAWAY,WARDS 1993,1:50000,Antrim,23.5954500501,23595450.0501,27960.4306274,27.9604306274,7
108,FOUNTAIN HILL,WARDS 1993,1:50000,Antrim,0.868752218335,868752.218335,5122.39693025,5.12239693025,8
109,GREYSTONE,WARDS 1993,1:50000,Antrim,0.553536526838,553536.526838,3987.70627592,3.98770627592,9
110,MASSEREENE,WARDS 1993,1:50000,Antrim,5.22717402172,5227174.02172,16824.6751461,16.8246751461,10
112,RANDALSTOWN,WARDS 1993,1:50000,Antrim,23.0687154771,23068715.4771,23502.1584714,23.5021584714,11
114,SPRINGFARM,WARDS 1993,1:50000,Antrim,4.16735359993,4167353.59993,9370.13042959,9.37013042959,12
115,STEEPLE,WARDS 1993,1:50000,Antrim,0.432789373201,432789.373201,2829.94253471,2.82994253471,13
116,STILES,WARDS 1993,1:50000,Antrim,0.554803180868,554803.180868,3209.95152488,3.20995152488,14
118,TEMPLEPATRICK,WARDS 1993,1:50000,Antrim,20.2783150129,20278315.0129,26239.7862456,26.2397862456,15
119,TOOME,WARDS 1993,1:50000,Antrim,64.9846902688,64984690.2688,42444.1633265,42.4441633265,16
121,FARRANSHANE,WARDS 1993,1:50000,Antrim,4.19488043739,4194880.43739,10338.469036,10.338469036,17
122,PARKGATE,WARDS 1993,1:50000,Antrim,65.1413246039,65141324.6039,41798.3551014,41.7983551014,18
123,SHILVODAN,WARDS 1993,1:50000,Antrim,52.2959062808,52295906.2808,44742.3345143,44.7423345143,19
201,BALLYGOWAN,WARDS 1993,1:50000,Ards,15.6433107415,15643310.7415,20820.3717477,20.8203717477,20
202,BALLYWALTER,WARDS 1993,1:50000,Ards,48.864797218,48864797.218,35176.2107273,35.1762107273,21
203,BRADSHAW'S BRAE,WARDS 1993,1:50000,Ards,10.3383936408,10338393.6408,18517.1851573,18.5171851573,22
204,CENTRAL,WARDS 1993,1:50000,Ards,2.73511676818,2735116.76818,8220.73073925,8.22073073925,23
205,COMBER NORTH,WARDS 1993,1:50000,Ards,3.62052210594,3620522.10594,8680.17740536,8.68017740536,24
207,COMBER WEST,WARDS 1993,1:50000,Ards,6.5531800225,6553180.0225,12825.1271078,12.8251271078,25
208,DONAGHADEE NORTH,WARDS 1993,1:50000,Ards,16.9196541248,16919654.1248,32877.0146241,32.8770146241,26
209,DONAGHADEE SOUTH,WARDS 1993,1:50000,Ards,1.89202771432,1892027.71432,8210.53125821,8.21053125821,27
210,GLEN,WARDS 1993,1:50000,Ards,4.60214212793,4602142.12793,11026.828659,11.026828659,28
211,KILLINCHY,WARDS 1993,1:50000,Ards,70.2399912518,70239991.2518,44964.9524574,44.9649524574,29
212,KIRCUBBIN,WARDS 1993,1:50000,Ards,64.486975547,64486975.547,41003.2003027,41.0032003027,30
213,LOUGHRIES,WARDS 1993,1:50000,Ards,20.5019272685,20501927.2685,27809.0972967,27.8090972967,31
214,MILLISLE,WARDS 1993,1:50000,Ards,15.1731125146,15173112.5146,20592.1762766,20.5921762766,32
215,MOVILLA,WARDS 1993,1:50000,Ards,1.44111611151,1441116.11151,5758.07237368,5.75807237368,33
216,PORTAFERRY,WARDS 1993,1:50000,Ards,36.5041731007,36504173.1007,37581.870851,37.581870851,34
217,PORTAVOGIE,WARDS 1993,1:50000,Ards,23.103620335,23103620.335,24509.0898947,24.5090898947,35
