X,Y,OBJECTID_1,OBJECTID,Muni,Ward,District,LocName,Prefix,House,Street,Suffix1,Suffix2,City,Zip,Parcel,Leadman,Region,DistrictCO,DistrictSE,DistrictLE,MuniName,OrigAddres,MWD,POINT_X,POINT_Y
-80.0445997570883,40.5195849005733,1001,1004,223,0,6,#2 ENGINE HOUSE, ,24,AMHERST,AVE, ,WEST VIEW,15229-1536,0279B00091000000,27,4,4,40,20,WEST VIEW,14 AMHERST AVE,2230006,1330635.00129,440422.004209
-80.0319702685306,40.5211159849834,1002,1005,223,0,7,WEST VIEW ELEMENTARY SCHOOL GYM, ,47,CHALFANT,ST, ,WEST VIEW,15229,0280A00114000000,27,4,4,40,20,WEST VIEW,47 CHALFANT STREET,2230007,1334159.44536,440888.627957
-79.9999411935092,40.3573080268444,1003,1006,225,0,1,BALDWIN COMM. U M CHURCH-WESLEY HL., ,5001,BAPTIST,RD, ,PITTSBURGH,15236-1717,0249S00160000000,34,1,18,37,22,WHITEHALL,5001 BAPTIST RD,2250001,1341540.73412,381004.441744
-80.0062334032054,40.3561952292437,1004,1007,225,0,2,ST. GABRIEL OF THE SORROW VIR SCH, ,5200,GREENRIDGE,DR, ,PITTSBURGH,15236-1742,0249R00224000002,34,1,18,37,22,WHITEHALL,5200 GREENRIDGE DR,2250002,1339777.39605,380643.921645
-79.9797290044522,40.35098943665,1005,1008,225,0,3,BORO BLDG, ,100,BOROUGH PARK,DR, ,PITTSBURGH,15236-2013,0314E00100000000,34,1,18,37,22,WHITEHALL,100 BOROUGH PARK DR,2250003,1347113.67144,378560.498948
-79.9801613240442,40.3509810829354,1006,1009,225,0,4,BORO BLDG, ,100,BOROUGH PARK,DR, ,PITTSBURGH,15236-2013,0314E00100000000,34,1,18,37,22,WHITEHALL,100 BOROUGH PARK DR,2250004,1346993.14023,378560.498948
-79.9779066724975,40.3556035393354,1007,1010,225,0,5,BALDWIN HIGH SCHOOL GYM HALL, ,4653,CLAIRTON,BLVD, ,PITTSBURGH,15236-2149,0247P00200000000,34,1,18,37,36,WHITEHALL,4653 CLAIRTON BLVD,2250005,1347663.8171,380228.037403
-79.9782407878807,40.3559923512616,1008,1011,225,0,6,BALDWIN HIGH SCHOOL  GYM HALL, ,4653,CLAIRTON,BLVD, ,PITTSBURGH,15236-2149,0247P00200000000,34,1,18,37,36,WHITEHALL,4653 CLAIRTON BLVD,2250006,1347574.30451,380371.983288
-79.997535227479,40.3649326680194,1009,1012,225,0,7,CANONGATE APT-PARTY RM., ,200,WHITE HAMPTON,LN, ,PITTSBURGH,15236-1575,0189N00050000000,34,1,18,37,22,WHITEHALL,200 WHITE HAMPTON LN,2250007,1342281.70986,383764.085281
-79.9935527513839,40.3528597966504,1010,1013,225,0,8,WHITEHALL ELEMENTARY SCHOOL, ,4900,CURRY,RD, ,PITTSBURGH,15236-1817,0315F00115000000,34,1,18,37,22,WHITEHALL,4900 CURRY RD,2250008,1343279.36584,379339.210064
-79.9783221748883,40.3560904260711,1011,1014,225,0,9,BALDWIN HIGH SCHOOL  GYM HALL, ,4653,CLAIRTON,BLVD, ,PITTSBURGH,15236-2149,0247P00200000000,34,1,18,37,36,WHITEHALL,4653 CLAIRTON BLVD,2250009,1347552.53116,380408.272124
-80.0004828478343,40.3573246101657,1012,1015,225,0,10,BALDWIN COMM. U M CHURCH-ASBURY HALL, ,5001,BAPTIST,RD, ,PITTSBURGH,15236-1717,0249S00160000000,34,1,18,37,22,WHITEHALL,5001 BAPTIST RD,2250010,1341389.98551,381014.326962
-79.882110684461,40.4442096074051,1013,1016,228,3,3,WILKINSBURG SENIOR HIGH, ,747,WALLACE,AVE, ,WILKINSBURG,15221-2243,0232N00061000000,52,2,14,38,24,WILKINSBURG,747 WALLACE AVE,2280303,1375132.62457,411838.550774
-79.8904306814948,40.4404217247108,1014,1017,228,3,4,KELLY SCHOOL, ,400,KELLY,AVE, ,WILKINSBURG,15221-3158,0176G00166000000,52,2,14,38,24,WILKINSBURG,400 KELLY AVE,2280304,1372784.17284,410515.045059
-79.888429127255,40.4417450095656,1015,1018,228,3,5,ST STEPHEN EPISCOPAL CHURCH, ,600,PITT,ST, ,WILKINSBURG,15221-3136,0176C00135000002,52,2,14,38,24,WILKINSBURG,600 PITT ST,2280305,1373352.80127,410983.479927
-79.8836849455236,40.4441035851584,1016,1019,228,3,6,WILKINSBURG SCHOOL ADMIN BLDG, ,718,WALLACE,AVE, ,WILKINSBURG,15221-2049,0175S00336000000,52,2,14,38,24,WILKINSBURG,1117 WOOD ST,2280306,1374581.49758,412223.817049
-79.8073194136061,40.3929935583158,1017,1020,229,0,1,BORO BLDG 1ST FL FIREMEN'S ROOM, ,301,STATION,ST, ,WILMERDING,15148-1014,0456C00010000000,33,6,14,45,34,WILMERDING,756 AIRBRAKE AVE,2290001,1393629.7343,394929.399542
-79.8074162566027,40.3930860841823,1018,1021,229,0,2,BORO BLDG STATION ST ENT, ,301,STATION,ST, ,WILMERDING,15148,0546C00010000000,33,6,14,45,34,WILMERDING,301 STATION STREET,2290002,1395482.45968,392726.331626
-80.0788440841552,40.4508673809511,1019,1022,188,28,10,SALVATION ARMY, ,1821,BROADHEAD FORDING,RD, ,PITTSBURGH,15205-1805,0070A00023000000,18,7,14,42,27,PITTSBURGH,1821 BROADHEAD FORDING RD,1882810,1320457.67151,415645.966221
-80.0789465757933,40.4507585158481,1020,1023,188,28,11,SALVATION ARMY, ,1821,BROADHEAD FORDING,RD, ,PITTSBURGH,15205-1805,0070A00023000000,18,7,14,42,27,PITTSBURGH,1821 BROADHEAD FORDING RD,1882811,1320428.1124,415607.072722
-79.9888649215743,40.3982935032918,1021,1024,188,29,1,ENGINE HOUSE, ,1704,BROWNSVILLE,RD, ,PITTSBURGH,15210-3936,0060L00212000000,19,7,14,43,36,PITTSBURGH,1704 BROWNSVILLE RD,1882901,1345005.02823,395852.024393
-79.9869626650011,40.3962295433141,1022,1025,188,29,2,CONCORD PRESBY CHURCH, ,1907,BROWNSVILLE,RD, ,PITTSBURGH,15210-4201,0060S00006000001,19,7,14,43,36,PITTSBURGH,1907 BROWNSVILLE RD,1882902,1345515.62552,395086.947632
-79.9858300208634,40.3925357965268,1023,1026,188,29,3,CARRICK REGENCY, ,2129,BROWNSVILLE,RD, ,PITTSBURGH,15210-4263,0095D00268000000,19,7,14,43,36,PITTSBURGH,2129 BROWNSVILLE RD,1882903,1345796.93058,393733.772279
-79.9773694166283,40.3858665352288,1024,1027,188,29,4,SPENCER UNITED METHODIST CHURCH, ,117,SPENCER,AVE, ,PITTSBURGH,15227-2104,0094P00058000000,19,7,14,43,36,PITTSBURGH,2728 CUSTER AVE,1882904,1348836.76464,393810.239463
-79.9831173130025,40.3880770481165,1025,1028,188,29,5,BIRMINGHAM UNITED CHURCH OF CHRIST, ,25,CARRICK,AVE, ,PITTSBURGH,15210-4321,0095M00030000000,19,7,14,43,36,PITTSBURGH,25 CARRICK AVE,1882905,1346511.21982,392090.870157
-79.9771637904714,40.3830341832725,1026,1029,188,29,7,STEWART AVE LUTHERAN CHURCH, ,2810,BROWNSVILLE,RD, ,PITTSBURGH,15227-1905,0137B00070000000,19,7,14,43,36,PITTSBURGH,2810 BROWNSVILLE RD,1882907,1348122.77508,390212.483789
-79.9859069550896,40.392632943741,1027,1030,188,29,9,CARRICK REGENCY 1ST FL, ,2129,BROWNSVILLE,RD, ,PITTSBURGH,15210-4263,0095D00268000000,19,7,14,43,36,PITTSBURGH,2129 BROWNSVILLE RD,1882909,1345776.40413,393769.693638
-79.9910101338175,40.3914961779276,1028,1031,188,29,10,PHILLIPS PARK RECREATION CENTER, ,201,PARKFIELD,ST, ,PITTSBURGH,15210-4114,0095F00265000000,19,7,14,43,36,PITTSBURGH,201 PARKFIELD ST,1882910,1344344.91056,393391.733417
-79.9874803367994,40.3970571882781,1029,1032,188,29,12,CARNEGIE LIBRARY OF PGH CARRICK, ,1811,BROWNSILLE,RD, ,PITTSBURGH,15210-3934,0060L00252000000,19,7,14,43,36,PITTSBURGH,1803 CONCORDIA ST,1882912,1345696.95423,395415.468633
-79.9903819680659,40.4168492228447,1030,1033,188,30,1,KNOXVILLE CHRISTIAN CHURCH, ,72,KNOX,AVE, ,PITTSBURGH,15210-5500,0014L00191000000,11,7,14,42,19,PITTSBURGH,72 KNOX AVE,1883001,1344754.11232,402620.359139
-79.9890893303261,40.4131989219093,1031,1034,188,30,3,CARNEGIE LIBRARY, ,400,BROWNSVILLE,RD, ,PITTSBURGH,15210-2251,0033C00152000000,11,7,14,42,19,PITTSBURGH,400 BROWNSVILLE RD,1883003,1345080.20681,401281.863351
-79.9908914116039,40.415332404527,1032,1035,188,30,4,COUNCIL 3 RIVERS AMER INDIAN FRT, ,201,ROCHELLE,ST, ,PITTSBURGH,15210-2047,0014R00116000000,11,7,14,42,19,PITTSBURGH,201 ROCHELLE ST,1883004,1344598.28811,402071.562287
-79.9891166176815,40.4132355921576,1033,1036,188,30,5,CARNEGIE LIBRARY 1ST FLOOR, ,400,BROWNSVILLE,RD, ,PITTSBURGH,15210-2251,0033C00152000000,11,7,14,42,19,PITTSBURGH,400 BROWNSVILLE RD,1883005,1345072.94954,401295.410464
-79.9154276253888,40.3686341011011,1034,1037,188,31,3,LINCOLN PL PRESBYTERIAN CHURCH, ,1202,MULDOWNEY,AVE, ,PITTSBURGH,15207-2247,0184J00243000000,20,1,14,43,36,PITTSBURGH,1202 MULDOWNEY AVE,1883103,1365187.31081,384540.497127
-79.9147235411692,40.3698739718109,1035,1038,188,31,4,MIFFLIN ELEMENTARY SCHOOL, ,1290,MIFFLIN,RD, ,PITTSBURGH,15207-2214,0184J00032000000,20,1,14,43,36,PITTSBURGH,1290 MIFFLIN RD,1883104,1365394.50834,384987.230875
-79.9147595747834,40.3700279058586,1036,1039,188,31,5,MIFFLIN ELEMENTARY SCHOOL, ,1290,MIFFLIN,RD, ,PITTSBURGH,15207-2214,0184J00032000000,20,1,14,43,36,PITTSBURGH,1290 MIFFLIN RD,1883105,1365385.84572,385043.537463
-79.9150364364562,40.3699335159461,1037,1040,188,31,6,MIFFLIN ELEMENTARY SCHOOL, ,1290,MIFFLIN,RD, ,PITTSBURGH,15207-2214,0184J00032000000,20,1,14,43,36,PITTSBURGH,1290 MIFFLIN RD,1883106,1365307.8827,385011.052942
-79.9953593011993,40.3838320194631,1038,1041,188,32,1,FAIRHAVEN METHODIST CHURCH, ,2415,SAW MILL RUN,BLVD, ,PITTSBURGH,15234-3039,0138B00291000002,19,7,14,42,36,PITTSBURGH,2415 SAW MILL RUN BLVD,1883201,1343062.88041,390631.38213
