FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
1001,16466655.349197,16382.130865958,1244,549,0879,879
1002,16466672.264399,16382.141148919,1245,499,0878,878
1003,16466638.751759,16382.12314386,1246,449,0877,877
1004,16466650.502837,16382.130643862,1247,400,0876,876
1005,16454927.705731,16375.493539819,1123,1152,0395,395
1006,16443000.753343,16368.750833071,1002,134,0982,982
1007,16466630.208706,16382.120637964,1248,351,0875,875
1008,16445477.656518,16370.153535658,1003,1517,0684,684
1009,16454945.765301,16375.503448819,1124,1100,0394,394
1010,16466626.495803,16382.119261051,1249,303,0874,874
1011,16445473.910329,16370.150941272,1004,1489,0583,583
1012,16445482.650796,16370.155319216,1005,1456,0490,490
1013,16454931.337636,16375.494974056,1125,1047,0393,393
1014,16466633.078132,16382.123582889,1250,255,0873,873
1015,16466616.398766,16382.11439964,1251,212,0872,872
1016,16454963.768311,16375.511945224,1126,991,0392,392
1017,16445492.991248,16370.159251868,1006,1418,0405,405
1018,16445505.767007,16370.165440254,1007,1380,0328,328
1019,16454959.988209,16375.508381229,1127,933,0391,391
1020,16469059.520194,16383.488044314,1252,997,1010,1010
1021,16445511.358443,16370.16843266,1008,1337,0259,259
1022,16454955.472704,16375.50524183,1128,875,0390,390
1023,16454944.515388,16375.500224555,1129,818,0389,389
1024,16469066.72781,16383.491601242,1253,939,1009,1009
1025,16445507.330198,16370.165199961,1009,1292,0198,198
1026,16469038.053019,16383.475700317,1254,881,1008,1008
1027,16454951.987328,16375.505535837,1130,761,0388,388
1028,16454936.307104,16375.496759504,1131,706,0387,387
1029,16469035.020171,16383.474280118,1255,824,1007,1007
1030,16445527.143142,16370.175412157,1010,1246,0145,145
1031,16469019.833642,16383.466822871,1256,767,1006,1006
1032,16445526.958458,16370.173998317,1011,1200,0144,144
1033,16454945.913389,16375.502215101,1132,651,0386,386
1034,16469019.0551,16383.46769801,1257,712,1005,1005
1035,16445545.886004,16370.182299443,1012,1148,0143,143
