Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
30-Jun-2007,Belfast,General Surgery,Acute Services,439,334,233,31,0,--,--,--,--,--,"1,037",
30-Jun-2007,Belfast,Urology,Acute Services,178,133,108,14,0,--,--,--,--,--,433,
30-Jun-2007,Belfast,T & O Surgery,Acute Services,589,832,567,111,0,--,--,--,--,--,"2,099",
30-Jun-2007,Belfast,ENT,Acute Services,310,469,257,9,0,--,--,--,--,--,"1,045",
30-Jun-2007,Belfast,Ophthalmology,Acute Services,121,110,78,6,0,--,--,--,--,--,315,
30-Jun-2007,Belfast,Oral Surgery,Acute Services,21,20,17,8,0,--,--,--,--,--,66,
30-Jun-2007,Belfast,Paediatric Dentistry,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Belfast,Neurosurgery,Acute Services,32,27,16,0,0,--,--,--,--,--,75,
30-Jun-2007,Belfast,Plastic Surgery,Acute Services,54,34,22,0,0,--,--,--,--,--,110,
30-Jun-2007,Belfast,Cardiac Surgery,Acute Services,89,107,70,1,0,--,--,--,--,--,267,
30-Jun-2007,Belfast,Paediatric Surgery,Acute Services,51,26,14,0,0,--,--,--,--,--,91,
30-Jun-2007,Belfast,Thoracic Surgery,Acute Services,32,6,3,0,0,--,--,--,--,--,41,
30-Jun-2007,Belfast,Pain Management,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Belfast,General Medicine,Acute Services,24,6,2,0,0,--,--,--,--,--,32,
30-Jun-2007,Belfast,Gastroenterology,Acute Services,7,11,7,2,0,--,--,--,--,--,27,
30-Jun-2007,Belfast,Endocrinology,Acute Services,15,2,2,0,0,--,--,--,--,--,19,
30-Jun-2007,Belfast,Cardiology,Acute Services,135,95,68,9,0,--,--,--,--,--,307,
30-Jun-2007,Belfast,Dermatology,Acute Services,4,5,0,0,0,--,--,--,--,--,9,
30-Jun-2007,Belfast,Thoracic Medicine,Acute Services,14,19,16,0,0,--,--,--,--,--,49,
30-Jun-2007,Belfast,Nephrology,Acute Services,13,2,4,2,0,--,--,--,--,--,21,
30-Jun-2007,Belfast,Neurology,Acute Services,35,34,28,8,0,--,--,--,--,--,105,
30-Jun-2007,Belfast,Rheumatology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Belfast,Paediatrics,Acute Services,5,0,0,0,0,--,--,--,--,--,5,
30-Jun-2007,Belfast,Gynaecology,Acute Services,157,146,102,21,0,--,--,--,--,--,426,
30-Jun-2007,Belfast,Mental Illness,Mental Health,7,0,0,0,0,--,--,--,--,--,7,
30-Jun-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,0,1,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Belfast,Psychotherapy,Mental Health,14,0,0,0,0,--,--,--,--,--,14,
30-Jun-2007,Belfast,Radiology,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Northern,General Surgery,Acute Services,181,120,50,4,0,--,--,--,--,--,355,
30-Jun-2007,Northern,Urology,Acute Services,22,27,25,5,0,--,--,--,--,--,79,
30-Jun-2007,Northern,ENT,Acute Services,113,104,51,2,0,--,--,--,--,--,270,
30-Jun-2007,Northern,Oral Surgery,Acute Services,0,0,1,0,0,--,--,--,--,--,1,
30-Jun-2007,Northern,General Medicine,Acute Services,12,4,0,0,0,--,--,--,--,--,16,
30-Jun-2007,Northern,Gastroenterology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Northern,Cardiology,Acute Services,3,5,0,0,0,--,--,--,--,--,8,
30-Jun-2007,Northern,Gynaecology,Acute Services,111,112,118,43,0,--,--,--,--,--,384,
30-Jun-2007,South Eastern,General Surgery,Acute Services,144,74,41,5,0,--,--,--,--,--,264,
30-Jun-2007,South Eastern,T & O Surgery,Acute Services,6,1,0,0,0,--,--,--,--,--,7,
30-Jun-2007,South Eastern,ENT,Acute Services,52,36,26,1,0,--,--,--,--,--,115,
30-Jun-2007,South Eastern,Ophthalmology,Acute Services,2,2,0,0,0,--,--,--,--,--,4,
30-Jun-2007,South Eastern,Oral Surgery,Acute Services,30,22,4,1,0,--,--,--,--,--,57,
30-Jun-2007,South Eastern,Plastic Surgery,Acute Services,58,18,34,9,0,--,--,--,--,--,119,
30-Jun-2007,South Eastern,General Medicine,Acute Services,8,0,0,0,0,--,--,--,--,--,8,
30-Jun-2007,South Eastern,Cardiology,Acute Services,5,2,1,0,0,--,--,--,--,--,8,
30-Jun-2007,South Eastern,Paediatrics,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Jun-2007,South Eastern,Gynaecology,Acute Services,114,91,41,7,0,--,--,--,--,--,253,
30-Jun-2007,Southern,General Surgery,Acute Services,168,135,117,15,0,--,--,--,--,--,435,
30-Jun-2007,Southern,Urology,Acute Services,74,102,76,24,0,--,--,--,--,--,276,
30-Jun-2007,Southern,T & O Surgery,Acute Services,2,0,0,0,0,--,--,--,--,--,2,
30-Jun-2007,Southern,ENT,Acute Services,175,203,194,19,0,--,--,--,--,--,591,
30-Jun-2007,Southern,Ophthalmology,Acute Services,0,1,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Southern,Gastroenterology,Acute Services,8,1,0,0,0,--,--,--,--,--,9,
30-Jun-2007,Southern,Cardiology,Acute Services,36,30,14,1,0,--,--,--,--,--,81,
30-Jun-2007,Southern,Rheumatology,Acute Services,0,2,1,0,0,--,--,--,--,--,3,
30-Jun-2007,Southern,Gynaecology,Acute Services,118,107,59,1,0,--,--,--,--,--,285,
30-Jun-2007,Western,General Surgery,Acute Services,140,83,88,16,0,--,--,--,--,--,327,
30-Jun-2007,Western,Urology,Acute Services,26,24,16,3,0,--,--,--,--,--,69,
30-Jun-2007,Western,T & O Surgery,Acute Services,162,169,202,51,0,--,--,--,--,--,584,
30-Jun-2007,Western,ENT,Acute Services,233,175,160,20,0,--,--,--,--,--,588,
30-Jun-2007,Western,Ophthalmology,Acute Services,3,1,0,0,0,--,--,--,--,--,4,
30-Jun-2007,Western,Oral Surgery,Acute Services,38,6,5,1,0,--,--,--,--,--,50,
30-Jun-2007,Western,General Medicine,Acute Services,1,0,0,0,0,--,--,--,--,--,1,
30-Jun-2007,Western,Paediatrics,Acute Services,1,0,1,0,0,--,--,--,--,--,2,
30-Jun-2007,Western,Gynaecology,Acute Services,102,95,74,11,0,--,--,--,--,--,282,
