Quarter Year,Antrim and Newtownabbey RPPI,Antrim and Newtownabbey Standardised Price,Ards and North Down RPPI,Ards and North Down Standardised Price,Armagh City Banbridge and Craigavon RPPI,Armagh City Banbridge and Craigavon Standardised Price,Belfast RPPI,Belfast Standardised Price,Causeway Coast and Glens RPPI,Causeway Coast and Glens Standardised Price,Derry City and Strabane RPPI,Derry City and Strabane Standardised Price,Fermanagh and Omagh RPPI,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh RPPI,Lisburn and Castlereagh Standardised Price,Mid and East Antrim RPPI,Mid and East Antrim Standardised Price,Mid Ulster Average RPPI,Mid Ulster Standardised Price,Newry Mourne and Down RPPI,Newry Mourne and Down Standardised Price
Q1 2005,99.9,114852,97.2,130399,102.2,100785,99.8,105517,111.3,120121,100.3,94944,109.4,104875,96.0,128828,102.2,105865,102.7,114882,100.8,113421
Q2 2005,99.7,114645,100.8,135289,106.3,104807,100.6,106309,115.5,124698,105.1,99465,117.2,112361,100.2,134475,104.4,108140,110.4,123463,112.0,125971
Q3 2005,107.9,124092,102.2,137133,110.0,108435,109.6,115847,124.8,134711,112.0,106011,125.9,120660,106.8,143327,112.7,116739,117.6,131526,117.2,131900
Q4 2005,111.9,128683,106.4,142809,116.1,114415,110.7,117024,129.0,139314,117.1,110817,130.8,125338,111.3,149435,114.6,118640,121.9,136286,123.6,139092
Q1 2006,113.5,130476,109.2,146580,121.8,120091,112.3,118713,134.3,144990,124.3,117650,135.6,129914,110.5,148404,115.9,119980,129.5,144890,127.4,143392
Q2 2006,124.3,142848,116.9,156879,134.6,132629,127.1,134321,145.0,156500,135.3,128115,148.6,142380,123.5,165758,126.7,131152,136.3,152497,136.0,153012
Q3 2006,139.5,160368,130.7,175450,151.4,149270,143.1,151257,157.6,170114,150.9,142906,167.0,160048,138.6,186013,140.6,145596,147.4,164865,150.7,169594
Q4 2006,157.1,180556,147.4,197904,173.2,170766,161.7,170931,172.4,186110,161.5,152874,177.9,170501,155.7,209072,158.1,163697,166.3,186049,172.1,193682
Q1 2007,173.1,199003,165.8,222578,197.2,194410,176.5,186493,195.7,211275,170.7,161643,194.8,186653,175.3,235396,177.7,184017,181.4,202872,184.1,207149
Q2 2007,189.8,218248,184.5,247581,210.8,207773,193.3,204294,215.3,232466,183.2,173451,198.7,190454,192.4,258304,195.8,202716,200.3,224037,198.1,222887
Q3 2007,199.4,229186,192.2,257958,215.1,212065,202.1,213626,221.5,239129,190.6,180450,201.3,192888,201.6,270714,202.0,209126,194.9,218010,213.5,240247
Q4 2007,188.7,216908,200.7,269355,192.9,190140,185.6,196168,210.5,227269,188.4,178329,202.7,194249,196.5,263852,197.3,204240,178.2,199337,203.9,229375
Q1 2008,172.6,198382,191.7,257331,187.2,184486,167.9,177482,194.4,209927,179.1,169530,194.5,186390,170.7,229234,181.3,187710,169.3,189409,181.9,204602
Q2 2008,166.9,191817,174.6,234339,164.0,161640,159.4,168434,188.8,203817,163.0,154273,177.3,169875,165.7,222412,177.4,183728,153.3,171463,173.8,195513
Q3 2008,151.8,174545,144.1,193367,148.6,146485,149.2,157723,173.2,186948,152.3,144185,149.1,142891,142.1,190766,163.1,168825,145.1,162314,161.0,181124
Q4 2008,129.9,149316,141.2,189579,141.0,138953,127.3,134571,148.7,160495,151.7,143589,154.8,148327,132.0,177235,142.7,147783,132.3,148027,155.8,175270
Q1 2009,122.2,140436,132.6,178028,126.9,125126,120.7,127600,135.0,145808,130.1,123155,131.2,125743,119.6,160514,131.4,136084,108.7,121626,143.1,160998
Q2 2009,125.9,144783,127.6,171238,130.1,128248,127.0,134216,130.7,141151,127.0,120236,133.7,128116,123.2,165357,129.7,134249,113.5,126957,136.0,152984
Q3 2009,128.1,147298,129.3,173532,126.9,125062,129.4,136800,128.7,138984,126.3,119582,131.0,125595,121.9,163611,131.0,135618,116.4,130214,135.3,152198
Q4 2009,129.5,148821,126.4,169689,125.2,123414,127.4,134658,135.4,146168,128.9,122016,134.0,128384,124.1,166599,132.8,137522,115.1,128696,134.6,151415
Q1 2010,122.3,140651,124.0,166400,122.2,120423,121.6,128524,125.9,135889,125.9,119151,126.5,121279,120.7,162105,121.6,125913,109.6,122587,127.1,143027
Q2 2010,120.9,139025,123.6,165887,118.0,116292,120.0,126796,128.9,139194,118.0,111695,123.0,117836,119.1,159909,129.4,134004,108.8,121647,124.5,140040
Q3 2010,121.6,139780,122.7,164684,118.9,117214,116.2,122763,118.8,128264,115.9,109748,128.4,123022,120.0,161108,123.0,127308,106.6,119214,123.3,138734
